tax_id	superkingdom	phylum	class	order	family	species
1349756	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Neobacillus novalis
1349758	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Bergeriella denitrificans
1349759	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas vesicularis
1349762	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus oxalaticus
1349764	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Dietziaceae	Dietzia papillomatosis
1423717	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus acidophilus
1423783	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus pantheris
1349773	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Micrococcus lylae
1349776	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus elgii
1349778	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus humicus
1349779	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus illinoisensis
1349780	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus lautus
1349781	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus macerans
1349784	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella ornithinolytica
1349786	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Pseudoclavibacter alba
1349788	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurospirillaceae	Sulfurospirillum cavolei
1349790	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga intermedia
1349791	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga palleronii
1349794	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus thiaminolyticus
1367456	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea ananatis
1379680	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia amikacinitolerans
1281	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus carnosus
29384	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus kloosii
70258	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus piscifermentans
469	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	NA
1215092	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas alcaligenes
1215093	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas alcaliphila
1215094	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas azotoformans
1215095	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas chlororaphis
1215096	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas chlororaphis
1215097	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas citronellolis
1215098	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas cremoricolorata
1215099	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas flavescens
1215100	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas fluorescens
1215101	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas fragi
1215102	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas fulva
1215103	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas indica
1215104	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas japonica
1215105	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas jinjuensis
1215106	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas luteola
1215107	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas mandelii
