host_species	taxid	host_genus	host_family	host_order	host_class
Oligoryzomys chacoensis	37015	Oligoryzomys	Cricetidae	Rodentia	Mammalia
Leucosarcia melanoleuca	115673	Leucosarcia	Columbidae	Columbiformes	Aves
Phalacrocorax sulcirostris	9210	Phalacrocorax	Phalacrocoracidae	Pelecaniformes	Aves
Nyctimantis rugiceps	318403	Nyctimantis	Hylidae	Anura	Amphibia
Pristimantis lirellus	448736	Pristimantis	Strabomantidae	Anura	Amphibia
Ablepharus pannonicus	71013	Ablepharus	Scincidae	Squamata	Lepidosauria
Phylloscopus cantator	274604	Phylloscopus	Phylloscopidae	Passeriformes	Aves
Hylophylax naevius	288092	Hylophylax	Thamnophilidae	Passeriformes	Aves
Carpodacus pulcherrimus	179409	Carpodacus	Fringillidae	Passeriformes	Aves
Knipolegus striaticeps	377287	Knipolegus	Tyrannidae	Passeriformes	Aves
Tchagra senegalus	272850	Tchagra	Malaconotidae	Passeriformes	Aves
Chaetophractus vellerosus	340076	Chaetophractus	Chlamyphoridae	Cingulata	Mammalia
Oedipina uniformis	107996	Oedipina	Plethodontidae	Caudata	Amphibia
Rhinopithecus roxellana	61622	Rhinopithecus	Cercopithecidae	Primates	Mammalia
Peucaea botterii	1125617	Peucaea	Fringillidae	Passeriformes	Aves
Ctenotus nasutus	480762	Ctenotus	Scincidae	Squamata	Lepidosauria
Proechimys longicaudatus	34837	Proechimys	Echimyidae	Rodentia	Mammalia
Dipodomys ordii	10020	Dipodomys	Heteromyidae	Rodentia	Mammalia
Cercotrichas podobe	757454	Cercotrichas	Muscicapidae	Passeriformes	Aves
Oligoryzomys delticola	414450	Oligoryzomys	Cricetidae	Rodentia	Mammalia
Martes martes	29065	Martes	Mustelidae	Carnivora	Mammalia
Phyllanthus atripennis	634342	Phyllanthus	Leiothrichidae	Passeriformes	Aves
Stylodipus andrewsi	1078408	Stylodipus	Dipodidae	Rodentia	Mammalia
Sminthopsis crassicaudata	9301	Sminthopsis	Dasyuridae	Dasyuromorphia	Mammalia
Phoenicoparrus andinus	704177	Phoenicoparrus	Phoenicopteridae	Phoenicopteriformes	Aves
Kupeornis chapini	1002792	Kupeornis	Leiothrichidae	Passeriformes	Aves
Phrynoidis asper	47543	Phrynoidis	Bufonidae	Anura	Amphibia
Ctenotus maryani	480757	Ctenotus	Scincidae	Squamata	Lepidosauria
Micrurus lemniscatus	129464	Micrurus	Elapidae	Squamata	Lepidosauria
Maxomys rajah	907928	Maxomys	Muridae	Rodentia	Mammalia
Pardaliparus venustulus	352469	Pardaliparus	Paridae	Passeriformes	Aves
Metallura baroni	66406	Metallura	Trochilidae	Apodiformes	Aves
Blommersia grandisonae	143588	Blommersia	Mantellidae	Anura	Amphibia
Ahaetulla fronticincta	186573	Ahaetulla	Colubridae	Squamata	Lepidosauria
Odorrana aureola	431933	Odorrana	Ranidae	Anura	Amphibia
Loris lydekkerianus	300163	Loris	Lorisidae	Primates	Mammalia
Sylvilagus robustus	881650	Sylvilagus	Leporidae	Lagomorpha	Mammalia
Mazama nemorivaga	397661	Mazama	Cervidae	Artiodactyla	Mammalia
Bathmocercus rufus	405081	Bathmocercus	Cisticolidae	Passeriformes	Aves
Proechimys steerei	461415	Proechimys	Echimyidae	Rodentia	Mammalia
Elachistocleis bicolor	1071978	Elachistocleis	Microhylidae	Anura	Amphibia
Dendropsophus robertmertensi	317345	Dendropsophus	Hylidae	Anura	Amphibia
Eleutherodactylus furcyensis	448442	Eleutherodactylus	Eleutherodactylidae	Anura	Amphibia
Ctenotus essingtonii	480736	Ctenotus	Scincidae	Squamata	Lepidosauria
Aprasia striolata	207577	Aprasia	Pygopodidae	Squamata	Lepidosauria
Euplectes orix	229098	Euplectes	Ploceidae	Passeriformes	Aves
Adenomera araucaria	1302377	Adenomera	Leptodactylidae	Anura	Amphibia
Acontias percivali	156902	Acontias	Scincidae	Squamata	Lepidosauria
Pristimantis pulvinatus	448844	Pristimantis	Strabomantidae	Anura	Amphibia
Zosterops mouroniensis	364587	Zosterops	Zosteropidae	Passeriformes	Aves
Lipaugus unirufus	114312	Lipaugus	Cotingidae	Passeriformes	Aves
Thryothorus guarayanus	241538	Thryothorus	Certhiidae	Passeriformes	Aves
Rhinolophus sedulus	59480	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia
Crotalus polystictus	125870	Crotalus	Viperidae	Squamata	Lepidosauria
Malacopteron palawanense	1149644	Malacopteron	Timaliidae	Passeriformes	Aves
Nycteris javanica	302404	Nycteris	Nycteridae	Chiroptera	Mammalia
Vireo huttoni	142472	Vireo	Vireonidae	Passeriformes	Aves
Petracola ventrimaculatus	269749	Petracola	Gymnophthalmidae	Squamata	Lepidosauria
Schoeniparus rufogularis	204794	Schoeniparus	Pellorneidae	Passeriformes	Aves
Cichlopsis leucogenys	164899	Cichlopsis	Turdidae	Passeriformes	Aves
Liolaemus salinicola	109438	Liolaemus	Iguanidae	Squamata	Lepidosauria
Chaetodipus arenarius	142641	Chaetodipus	Heteromyidae	Rodentia	Mammalia
Sporophila nigricollis	138930	Sporophila	Thraupidae	Passeriformes	Aves
Streptopelia orientalis	36243	Streptopelia	Columbidae	Columbiformes	Aves
Scinax perpusillus	544720	Scinax	Hylidae	Anura	Amphibia
Lepidophyma mayae	270508	Lepidophyma	Xantusiidae	Squamata	Lepidosauria
Amazona agilis	241586	Amazona	Psittacidae	Psittaciformes	Aves
Megophrys feae	233775	Megophrys	Megophryidae	Anura	Amphibia
Odorrana swinhoana	310664	Odorrana	Ranidae	Anura	Amphibia
Leptodactylus stenodema	1133666	Leptodactylus	Leptodactylidae	Anura	Amphibia
Cnemotriccus fuscatus	183540	Cnemotriccus	Tyrannidae	Passeriformes	Aves
Erythrolamprus jaegeri	666089	Erythrolamprus	Dipsadidae	Squamata	Lepidosauria
Myotis bocagii	153284	Myotis	Vespertilionidae	Chiroptera	Mammalia
Amolops loloensis	318551	Amolops	Ranidae	Anura	Amphibia
Craugastor mexicanus	228436	Craugastor	Craugastoridae	Anura	Amphibia
Anolis gingivinus	145399	Anolis	Dactyloidae	Squamata	Lepidosauria
Algyroides marchi	64412	Algyroides	Lacertidae	Squamata	Lepidosauria
Chrysolophus pictus	9089	Chrysolophus	Phasianidae	Galliformes	Aves
Rhinella macrorhina	159457	Rhinella	Bufonidae	Anura	Amphibia
Larus cachinnans	119609	Larus	Laridae	Charadriiformes	Aves
Fringilla coelebs	37598	Fringilla	Fringillidae	Passeriformes	Aves
Uperoleia mimula	1537159	Uperoleia	Myobatrachidae	Anura	Amphibia
Trioceros pfefferi	179918	Trioceros	Chamaeleonidae	Squamata	Lepidosauria
Antechinus leo	65606	Antechinus	Dasyuridae	Dasyuromorphia	Mammalia
Cercopithecus wolfi	263448	Cercopithecus	Cercopithecidae	Primates	Mammalia
Eleutherodactylus fuscus	448443	Eleutherodactylus	Eleutherodactylidae	Anura	Amphibia
Hylomyscus denniae	248796	Hylomyscus	Muridae	Rodentia	Mammalia
Lepidodactylus novaeguineae	1208035	Lepidodactylus	Gekkonidae	Squamata	Lepidosauria
Anorrhinus austeni	866356	Anorrhinus	Bucerotidae	Bucerotiformes	Aves
Dasia grisea	96750	Dasia	Scincidae	Squamata	Lepidosauria
Dacnis venusta	664759	Dacnis	Thraupidae	Passeriformes	Aves
Saimiri boliviensis	27679	Saimiri	Cebidae	Primates	Mammalia
Gambelia wislizenii	43593	Gambelia	Iguanidae	Squamata	Lepidosauria
Paraxerus cepapi	47973	Paraxerus	Sciuridae	Rodentia	Mammalia
Bufo torrenticola	261172	Bufo	Bufonidae	Anura	Amphibia
Capra falconeri	48167	Capra	Bovidae	Artiodactyla	Mammalia
Acrocephalus orientalis	68483	Acrocephalus	Sylviidae	Passeriformes	Aves
Myrmotherula pacifica	722577	Myrmotherula	Thamnophilidae	Passeriformes	Aves
Liolaemus petrophilus	109431	Liolaemus	Iguanidae	Squamata	Lepidosauria
Varanus bengalensis	62037	Varanus	Varanidae	Squamata	Lepidosauria
Craugastor laticeps	228444	Craugastor	Craugastoridae	Anura	Amphibia
Celeus flavus	315363	Celeus	Picidae	Piciformes	Aves
Colius leucocephalus	57411	Colius	Coliidae	Coliiformes	Aves
Tragelaphus angasii	66437	Tragelaphus	Bovidae	Artiodactyla	Mammalia
Heterixalus alboguttatus	143417	Heterixalus	Hyperoliidae	Anura	Amphibia
Stenocercus limitaris	342344	Stenocercus	Iguanidae	Squamata	Lepidosauria
Graomys domorum	118864	Graomys	Cricetidae	Rodentia	Mammalia
Craugastor angelicus	449738	Craugastor	Craugastoridae	Anura	Amphibia
Talpa altaica	114409	Talpa	Talpidae	Eulipotyphla	Mammalia
Pristimantis librarius	448733	Pristimantis	Strabomantidae	Anura	Amphibia
Chilabothrus inornatus	51747	Chilabothrus	Boidae	Squamata	Lepidosauria
Rhacophorus translineatus	1202793	Rhacophorus	Rhacophoridae	Anura	Amphibia
Cacatua galerita	141274	Cacatua	Cacatuidae	Psittaciformes	Aves
Capricornis crispus	9966	Capricornis	Bovidae	Artiodactyla	Mammalia
Sturnus albofrontatus	451422	Sturnus	Sturnidae	Passeriformes	Aves
Thamnophis mendax	173530	Thamnophis	Colubridae	Squamata	Lepidosauria
Histiotus magellanicus	909363	Histiotus	Vespertilionidae	Chiroptera	Mammalia
Macropygia phasianella	115675	Macropygia	Columbidae	Columbiformes	Aves
Physalaemus cuvieri	218685	Physalaemus	Leptodactylidae	Anura	Amphibia
Oligodon octolineatus	46273	Oligodon	Colubridae	Squamata	Lepidosauria
Pristimantis cruentus	326982	Pristimantis	Strabomantidae	Anura	Amphibia
Dicrurus hottentottus	254530	Dicrurus	Dicruridae	Passeriformes	Aves
Peromyscus fraterculus	144755	Peromyscus	Cricetidae	Rodentia	Mammalia
Dryocopus pileatus	51359	Dryocopus	Picidae	Piciformes	Aves
Oxyura vittata	8885	Oxyura	Anatidae	Anseriformes	Aves
Bavayia cyclura	143557	Bavayia	Diplodactylidae	Squamata	Lepidosauria
Raphicerus campestris	59544	Raphicerus	Bovidae	Artiodactyla	Mammalia
Fratercula cirrhata	43311	Fratercula	Alcidae	Charadriiformes	Aves
Malacomys cansdalei	1001554	Malacomys	Muridae	Rodentia	Mammalia
Rattus satarae	69076	Rattus	Muridae	Rodentia	Mammalia
Rhea americana	8797	Rhea	Rheidae	Rheiformes	Aves
Coracina atriceps	424846	Coracina	Campephagidae	Passeriformes	Aves
Ablepharus kitaibelii	245592	Ablepharus	Scincidae	Squamata	Lepidosauria
Nyctibius leucopterus	48429	Nyctibius	Nyctibiidae	Caprimulgiformes	Aves
Lophostoma carrikeri	409032	Lophostoma	Phyllostomidae	Chiroptera	Mammalia
Myotis oxygnathus	412095	Myotis	Vespertilionidae	Chiroptera	Mammalia
Stefania evansi	317400	Stefania	Hemiphractidae	Anura	Amphibia
Trapelus savignii	118240	Trapelus	Agamidae	Squamata	Lepidosauria
Proteles cristata	9680	Proteles	Hyaenidae	Carnivora	Mammalia
Ctenosaura melanosterna	189469	Ctenosaura	Iguanidae	Squamata	Lepidosauria
Hyperolius kivuensis	134701	Hyperolius	Hyperoliidae	Anura	Amphibia
Apomys camiguinensis	768346	Apomys	Muridae	Rodentia	Mammalia
Grus japonensis	30415	Grus	Gruidae	Gruiformes	Aves
Thrichomys pachyurus	190473	Thrichomys	Echimyidae	Rodentia	Mammalia
Anous stolidus	297802	Anous	Laridae	Charadriiformes	Aves
Oligosoma grande	105729	Oligosoma	Scincidae	Squamata	Lepidosauria
Uroplatus sp. E CMI-2008	543555	Uroplatus	Gekkonidae	Squamata	Lepidosauria
Scenopoeetes dentirostris	34929	Scenopoeetes	Ptilonorhynchidae	Passeriformes	Aves
Iguana delicatissima	51191	Iguana	Iguanidae	Squamata	Lepidosauria
Phelsuma standingi	143530	Phelsuma	Gekkonidae	Squamata	Lepidosauria
Meriones rex	298885	Meriones	Muridae	Rodentia	Mammalia
Coturnix japonica	93934	Coturnix	Phasianidae	Galliformes	Aves
Leptotyphlops nigroterminus	711070	Leptotyphlops	Leptotyphlopidae	Squamata	Lepidosauria
Sturnus vulgaris	9172	Sturnus	Sturnidae	Passeriformes	Aves
Oreoscoptes montanus	99873	Oreoscoptes	Sturnidae	Passeriformes	Aves
Xenorhina lanthanites	480218	Xenorhina	Microhylidae	Anura	Amphibia
Apalis flavida	208067	Apalis	Cisticolidae	Passeriformes	Aves
Theloderma asperum	191206	Theloderma	Rhacophoridae	Anura	Amphibia
Uperodon montanus	2055692	Uperodon	Microhylidae	Anura	Amphibia
Uperoleia micra	1104372	Uperoleia	Myobatrachidae	Anura	Amphibia
Toxostoma rufum	58210	Toxostoma	Mimidae	Passeriformes	Aves
Darevskia valentini	122353	Darevskia	Lacertidae	Squamata	Lepidosauria
Grammatoptila striata	1118563	Grammatoptila	Leiothrichidae	Passeriformes	Aves
Orthogeomys underwoodi	35666	Orthogeomys	Geomyidae	Rodentia	Mammalia
Leptodactylus riveroi	326186	Leptodactylus	Leptodactylidae	Anura	Amphibia
Accipiter superciliosus	56255	Accipiter	Accipitridae	Accipitriformes	Aves
Dobsonia magna	522445	Dobsonia	Pteropodidae	Chiroptera	Mammalia
Sylvisorex granti	307107	Sylvisorex	Soricidae	Eulipotyphla	Mammalia
Dubusia taeniata	62195	Dubusia	Thraupidae	Passeriformes	Aves
Ateuchosaurus pellopleurus	316453	Ateuchosaurus	Scincidae	Squamata	Lepidosauria
Cinclodes oustaleti	279551	Cinclodes	Furnariidae	Passeriformes	Aves
Thylamys velutinus	416366	Thylamys	Didelphidae	Didelphimorphia	Mammalia
Anolis reconditus	141900	Anolis	Dactyloidae	Squamata	Lepidosauria
Trachylepis homalocephala	111179	Trachylepis	Scincidae	Squamata	Lepidosauria
Myotis bombinus	392318	Myotis	Vespertilionidae	Chiroptera	Mammalia
Sceloporus subpictus	59723	Sceloporus	Phrynosomatidae	Squamata	Lepidosauria
Anaxyrus houstonensis	302538	Anaxyrus	Bufonidae	Anura	Amphibia
Mazama sp.	74479	Mazama	Cervidae	Artiodactyla	Mammalia
Sigmodon toltecus	134745	Sigmodon	Cricetidae	Rodentia	Mammalia
Coendou quichua	1310242	Coendou	Erethizontidae	Rodentia	Mammalia
Lopholaimus antarcticus	444144	Lopholaimus	Columbidae	Columbiformes	Aves
Stenodactylus sthenodactylus	930226	Stenodactylus	Gekkonidae	Squamata	Lepidosauria
Semnornis ramphastinus	91785	Semnornis	Ramphastidae	Piciformes	Aves
Notomys fuscus	337224	Notomys	Muridae	Rodentia	Mammalia
Hipposideros cineraceus	270698	Hipposideros	Hipposideridae	Chiroptera	Mammalia
Urotriorchis macrourus	518702	Urotriorchis	Accipitridae	Accipitriformes	Aves
Phylloscopus hainanus	287174	Phylloscopus	Phylloscopidae	Passeriformes	Aves
Corvus jamaicensis	1196295	Corvus	Corvidae	Passeriformes	Aves
Fukomys sp. PAVD-2007	423611	Fukomys	Bathyergidae	Rodentia	Mammalia
Myrmeciza loricata	288074	Myrmeciza	Thamnophilidae	Passeriformes	Aves
Melocichla mentalis	330760	Melocichla	Sylviidae	Passeriformes	Aves
Artibeus phaeotis	40229	Artibeus	Phyllostomidae	Chiroptera	Mammalia
Cornufer weberi	377250	Cornufer	Ceratobatrachidae	Anura	Amphibia
Nyctimystes kubori	248820	Nyctimystes	Hylidae	Anura	Amphibia
Pluvialis fulva	371922	Pluvialis	Charadriidae	Charadriiformes	Aves
Zonosaurus aeneus	329865	Zonosaurus	Gerrhosauridae	Squamata	Lepidosauria
Hylomyscus arcimontensis	1427028	Hylomyscus	Muridae	Rodentia	Mammalia
Notiomys edwardsii	29119	Notiomys	Cricetidae	Rodentia	Mammalia
Perisoreus canadensis	54573	Perisoreus	Corvidae	Passeriformes	Aves
Caiman yacare	141269	Caiman	Alligatoridae	Crocodylia	Archosauria
Incilius occidentalis	302547	Incilius	Bufonidae	Anura	Amphibia
Pleurodeles poireti	226889	Pleurodeles	Salamandridae	Caudata	Amphibia
Chelonoidis becki	106727	Chelonoidis	Testudinidae	Testudines	Testudinata
Hylophorbus wondiwoi	480197	Hylophorbus	Microhylidae	Anura	Amphibia
Thamnophis sirtalis	35019	Thamnophis	Colubridae	Squamata	Lepidosauria
Ara glaucogularis	303304	Ara	Psittacidae	Psittaciformes	Aves
Mastomys kollmannspergeri	485425	Mastomys	Muridae	Rodentia	Mammalia
Aves	8782	Platysteira laticincta	Platysteira	Passeriformes	Aves
Hylophorbus tetraphonus	480196	Hylophorbus	Microhylidae	Anura	Amphibia
Dipsas indica	121323	Dipsas	Dipsadidae	Squamata	Lepidosauria
Microtus lusitanicus	184258	Microtus	Cricetidae	Rodentia	Mammalia
Phylloderma stenops	148072	Phylloderma	Phyllostomidae	Chiroptera	Mammalia
Wetmorethraupis sterrhopteron	548522	Wetmorethraupis	Thraupidae	Passeriformes	Aves
Opisthotropis lateralis	763644	Opisthotropis	Colubridae	Squamata	Lepidosauria
Morunasaurus annularis	211988	Morunasaurus	Iguanidae	Squamata	Lepidosauria
Narudasia festiva	221572	Narudasia	Gekkonidae	Squamata	Lepidosauria
Spermophilus suslicus	99859	Spermophilus	Sciuridae	Rodentia	Mammalia
Smilisca phaeota	44372	Smilisca	Hylidae	Anura	Amphibia
Miniopterus medius	867841	Miniopterus	Vespertilionidae	Chiroptera	Mammalia
Liasis mackloti	51889	Liasis	Pythonidae	Squamata	Lepidosauria
Phyllomys unicolor	466165	Phyllomys	Echimyidae	Rodentia	Mammalia
Laterallus jamaicensis	371915	Laterallus	Rallidae	Gruiformes	Aves
Cinclodes albiventris	1094396	Cinclodes	Furnariidae	Passeriformes	Aves
Batrachoseps luciae	1141219	Batrachoseps	Plethodontidae	Caudata	Amphibia
Elminia albiventris	526174	Elminia	Stenostiridae	Passeriformes	Aves
Hyloscirtus armatus	279987	Hyloscirtus	Hylidae	Anura	Amphibia
Numenius arquata	31919	Numenius	Scolopacidae	Charadriiformes	Aves
Vireo altiloquus	34956	Vireo	Vireonidae	Passeriformes	Aves
Acinonyx jubatus	32536	Acinonyx	Felidae	Carnivora	Mammalia
Hemidactylus maculatus	863656	Hemidactylus	Gekkonidae	Squamata	Lepidosauria
Buteo albigula	223445	Buteo	Accipitridae	Accipitriformes	Aves
Aratinga nenday	51908	Aratinga	Psittacidae	Psittaciformes	Aves
Mauremys annamensis	204961	Mauremys	Geoemydidae	Testudines	Testudinata
Batrachoseps wrighti	57547	Batrachoseps	Plethodontidae	Caudata	Amphibia
Hemiphyllodactylus sp. 7 PLW-2014	1472356	Hemiphyllodactylus	Gekkonidae	Squamata	Lepidosauria
Locustella pryeri	69942	Locustella	Locustellidae	Passeriformes	Aves
Sphaerias blanfordi	662898	Sphaerias	Pteropodidae	Chiroptera	Mammalia
Tiaris olivaceus	592668	Tiaris	Thraupidae	Passeriformes	Aves
Leioheterodon modestus	184161	Leioheterodon	Lamprophiidae	Squamata	Lepidosauria
Hydrophis ornatus	8685	Hydrophis	Hydrophiidae	Squamata	Lepidosauria
Cyanopica cyanus	193059	Cyanopica	Corvidae	Passeriformes	Aves
Amietia angolensis	327958	Amietia	Pyxicephalidae	Anura	Amphibia
Chlorochrysa phoenicotis	256421	Chlorochrysa	Thraupidae	Passeriformes	Aves
Ranitomeya uakarii	370608	Ranitomeya	Dendrobatidae	Anura	Amphibia
Cyrtonyx montezumae	9017	Cyrtonyx	Odontophoridae	Galliformes	Aves
Tropidolaemus wagleri	8770	Tropidolaemus	Viperidae	Squamata	Lepidosauria
Pulchrana moellendorffi	1380832	Pulchrana	Ranidae	Anura	Amphibia
Draco timoriensis	162355	Draco	Agamidae	Squamata	Lepidosauria
Acrantophis dumerili	51850	Acrantophis	Boidae	Squamata	Lepidosauria
Buthraupis montana	62159	Buthraupis	Thraupidae	Passeriformes	Aves
Ptyas major	192173	Ptyas	Colubridae	Squamata	Lepidosauria
Chaetura cinereiventris	56283	Chaetura	Apodidae	Apodiformes	Aves
Sclerophrys tuberosa	1978147	Sclerophrys	Bufonidae	Anura	Amphibia
Rhinolophus hildebrandti	302411	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia
Stenocercus torquatus	342354	Stenocercus	Iguanidae	Squamata	Lepidosauria
Rhacophorus sp. JL-2012a	1202789	Rhacophorus	Rhacophoridae	Anura	Amphibia
Dipodomys microps	94248	Dipodomys	Heteromyidae	Rodentia	Mammalia
Glyphoglossus molossus	310869	Glyphoglossus	Microhylidae	Anura	Amphibia
Lamprophis aurora	932702	Lamprophis	Lamprophiidae	Squamata	Lepidosauria
Lepilemur otto	458173	Lepilemur	Lepilemuridae	Primates	Mammalia
Capreolus pygargus	48560	Capreolus	Cervidae	Artiodactyla	Mammalia
Otus elegans	245683	Otus	Strigidae	Strigiformes	Aves
Nymphargus mariae	526146	Nymphargus	Centrolenidae	Anura	Amphibia
Pseudemoia rawlinsoni	394168	Pseudemoia	Scincidae	Squamata	Lepidosauria
Hemiergis gracilipes	1353947	Hemiergis	Scincidae	Squamata	Lepidosauria
Calyptotis ruficauda	172937	Calyptotis	Scincidae	Squamata	Lepidosauria
Gekko romblon	1118507	Gekko	Gekkonidae	Squamata	Lepidosauria
Spatula clypeata	75838	Spatula	Anatidae	Anseriformes	Aves
Aspidomorphus schlegelii	703224	Aspidomorphus	Elapidae	Squamata	Lepidosauria
Conirostrum bicolor	182930	Conirostrum	Thraupidae	Passeriformes	Aves
Delomys dorsalis	89119	Delomys	Cricetidae	Rodentia	Mammalia
Ampelion rubrocristatus	381433	Ampelion	Cotingidae	Passeriformes	Aves
Bangsia rothschildi	548500	Bangsia	Thraupidae	Passeriformes	Aves
Boana joaquini	280000	Boana	Hylidae	Anura	Amphibia
Brookesia ramanantsoai	649027	Brookesia	Chamaeleonidae	Squamata	Lepidosauria
Ramphastos ariel	240741	Ramphastos	Ramphastidae	Piciformes	Aves
Hylodes ornatus	209665	Hylodes	Hylodidae	Anura	Amphibia
Halcyon tuta	342378	Halcyon	Alcedinidae	Coraciiformes	Aves
Amphiglossus waterloti	249455	Amphiglossus	Scincidae	Squamata	Lepidosauria
Phymaturus mallimaccii	167120	Phymaturus	Iguanidae	Squamata	Lepidosauria
Oligodon cruentatus	928512	Oligodon	Colubridae	Squamata	Lepidosauria
Eleutherodactylus zeus	448507	Eleutherodactylus	Eleutherodactylidae	Anura	Amphibia
Batrachoseps gregarius	75487	Batrachoseps	Plethodontidae	Caudata	Amphibia
Spermophilus dauricus	99837	Spermophilus	Sciuridae	Rodentia	Mammalia
Eurylepis taeniolata	273653	Eurylepis	Scincidae	Squamata	Lepidosauria
Hipposideros pelingensis	1116358	Hipposideros	Hipposideridae	Chiroptera	Mammalia
Aegotheles albertisi	48277	Aegotheles	Aegothelidae	Caprimulgiformes	Aves
Rhacophorus hui	493776	Rhacophorus	Rhacophoridae	Anura	Amphibia
Abronia oaxacae	102176	Abronia	Anguidae	Squamata	Lepidosauria
Macrovipera schweizeri	110205	Macrovipera	Viperidae	Squamata	Lepidosauria
Eremopterix verticalis	72219	Eremopterix	Alaudidae	Passeriformes	Aves
Chloroceryle amazona	342361	Chloroceryle	Cerylidae	Coraciiformes	Aves
Leptodactylus fuscus	238119	Leptodactylus	Leptodactylidae	Anura	Amphibia
Basilornis mirandus	994773	Basilornis	Sturnidae	Passeriformes	Aves
Eothenomys proditor	259052	Eothenomys	Cricetidae	Rodentia	Mammalia
Kinyongia fischeri	414978	Kinyongia	Chamaeleonidae	Squamata	Lepidosauria
Poecilotriccus albifacies	2767870	Poecilotriccus	Tyrannidae	Passeriformes	Aves
Mantidactylus betsileanus	127647	Mantidactylus	Mantellidae	Anura	Amphibia
Aristelliger praesignis	933624	Aristelliger	Sphaerodactylidae	Squamata	Lepidosauria
Litoria amboinensis	681222	Litoria	Hylidae	Anura	Amphibia
Boophis doulioti	252280	Boophis	Mantellidae	Anura	Amphibia
Lygodactylus gutturalis	301845	Lygodactylus	Gekkonidae	Squamata	Lepidosauria
Serinus citrinipectus	163856	Serinus	Fringillidae	Passeriformes	Aves
Upucerthia dumetaria	427547	Upucerthia	Furnariidae	Passeriformes	Aves
Myosorex blarina	548881	Myosorex	Soricidae	Eulipotyphla	Mammalia
Cerradomys subflavus	37022	Cerradomys	Cricetidae	Rodentia	Mammalia
Trichothraupis melanops	555363	Trichothraupis	Thraupidae	Passeriformes	Aves
Aythya americana	30385	Aythya	Anatidae	Anseriformes	Aves
Micrurus altirostris	129457	Micrurus	Elapidae	Squamata	Lepidosauria
Otolemur monteiri	337212	Otolemur	Galagidae	Primates	Mammalia
Cycloramphus fuliginosus	1036303	Cycloramphus	Cycloramphidae	Anura	Amphibia
Platymantis corrugatus	472302	Platymantis	Ceratobatrachidae	Anura	Amphibia
Japalura variegata	118211	Japalura	Agamidae	Squamata	Lepidosauria
Lycalopex fulvipes	354191	Lycalopex	Canidae	Carnivora	Mammalia
Bos javanicus	9906	Bos	Bovidae	Artiodactyla	Mammalia
Eleutherodactylus minutus	448471	Eleutherodactylus	Eleutherodactylidae	Anura	Amphibia
Recurvirostra avosetta	171275	Recurvirostra	Recurvirostridae	Charadriiformes	Aves
Chelodina oblonga	44492	Chelodina	Chelidae	Testudines	Testudinata
Liuixalus romeri	462319	Liuixalus	Rhacophoridae	Anura	Amphibia
Acrochordus javanicus	39267	Acrochordus	Acrochordidae	Squamata	Lepidosauria
Plectrohyla matudai	318382	Plectrohyla	Hylidae	Anura	Amphibia
Bubalus carabanensis	346063	Bubalus	Bovidae	Artiodactyla	Mammalia
Thallomys loringi	371827	Thallomys	Muridae	Rodentia	Mammalia
Simoselaps bimaculatus	529714	Simoselaps	Elapidae	Squamata	Lepidosauria
Iberolacerta horvathi	176666	Iberolacerta	Lacertidae	Squamata	Lepidosauria
Bradytriton silus	388879	Bradytriton	Plethodontidae	Caudata	Amphibia
Oriolus percivali	890112	Oriolus	Corvidae	Passeriformes	Aves
Alligator mississippiensis	8496	Alligator	Alligatoridae	Crocodylia	Archosauria
Tamiasciurus mearnsi	144199	Tamiasciurus	Sciuridae	Rodentia	Mammalia
Eleutherodactylus acmonis	448417	Eleutherodactylus	Eleutherodactylidae	Anura	Amphibia
Cyclemys fusca	1138843	Cyclemys	Geoemydidae	Testudines	Testudinata
Phoenicurus auroreus	358814	Phoenicurus	Muscicapidae	Passeriformes	Aves
Psarocolius angustifrons	84845	Psarocolius	Icteridae	Passeriformes	Aves
Chrotomys sibuyanensis	290249	Chrotomys	Muridae	Rodentia	Mammalia
Crocidura maurisca	214447	Crocidura	Soricidae	Eulipotyphla	Mammalia
Conolophus subcristatus	31140	Conolophus	Iguanidae	Squamata	Lepidosauria
Lerista borealis	470330	Lerista	Scincidae	Squamata	Lepidosauria
Tribolonotus novaeguineae	245669	Tribolonotus	Scincidae	Squamata	Lepidosauria
Oryzoborus crassirostris	200159	Oryzoborus	Thraupidae	Passeriformes	Aves
Selenidera nattereri	1367502	Selenidera	Ramphastidae	Piciformes	Aves
Tropiocolotes nattereri	1277456	Tropiocolotes	Gekkonidae	Squamata	Lepidosauria
Dicamptodon tenebrosus	94176	Dicamptodon	Dicamptodontidae	Caudata	Amphibia
Brookesia dentata	649003	Brookesia	Chamaeleonidae	Squamata	Lepidosauria
Setophaga citrina	1316271	Setophaga	Parulidae	Passeriformes	Aves
Saguinus bicolor	37588	Saguinus	Cebidae	Primates	Mammalia
Pristimantis w-nigrum	248791	Pristimantis	Strabomantidae	Anura	Amphibia
Atelopus ignescens	330826	Atelopus	Bufonidae	Anura	Amphibia
Curruca subcoerulea	187441	Curruca	Sylviidae	Passeriformes	Aves
Psychosaura agmosticha	356582	Psychosaura	Scincidae	Squamata	Lepidosauria
Trimeresurus stejnegeri	39682	Trimeresurus	Viperidae	Squamata	Lepidosauria
