host_species	taxid	host_genus	host_family	host_order	host_class
Proctoporus unsaacae	235262	Proctoporus	Gymnophthalmidae	Squamata	Lepidosauria
Eophona migratoria	175941	Eophona	Fringillidae	Passeriformes	Aves
Letheobia feae	1454326	Letheobia	Typhlopidae	Squamata	Lepidosauria
Fregata aquila	244445	Fregata	Fregatidae	Pelecaniformes	Aves
Aegolius acadicus	56265	Aegolius	Strigidae	Strigiformes	Aves
Mesoclemmys gibba	1234954	Mesoclemmys	Chelidae	Testudines	Testudinata
Napaeozapus insignis	101671	Napaeozapus	Dipodidae	Rodentia	Mammalia
Muntiacus crinifrons	71854	Muntiacus	Cervidae	Artiodactyla	Mammalia
Heremites vittatus	754021	Heremites	Scincidae	Squamata	Lepidosauria
Psomophis obtusus	1260352	Psomophis	Dipsadidae	Squamata	Lepidosauria
Lacerta schreiberi	80442	Lacerta	Lacertidae	Squamata	Lepidosauria
Myotis chinensis	225399	Myotis	Vespertilionidae	Chiroptera	Mammalia
Marisora aurulae	1206905	Marisora	Scincidae	Squamata	Lepidosauria
Aimophila strigiceps	587463	Aimophila	Passerellidae	Passeriformes	Aves
Nycteris thebaica	59467	Nycteris	Nycteridae	Chiroptera	Mammalia
Cyanocorax yucatanicus	402026	Cyanocorax	Corvidae	Passeriformes	Aves
Bombina variegata	8348	Bombina	Bombinatoridae	Anura	Amphibia
Myrmoderus ferrugineus	468493	Myrmoderus	Thamnophilidae	Passeriformes	Aves
Toxorhamphus novaeguineae	175137	Toxorhamphus	Melanocharitidae	Passeriformes	Aves
Picumnus cirratus	137535	Picumnus	Picidae	Piciformes	Aves
Cyanocompsa parellina	138966	Cyanocompsa	Fringillidae	Passeriformes	Aves
Plestiodon kishinouyei	463526	Plestiodon	Scincidae	Squamata	Lepidosauria
Cercosaura manicata	1718793	Cercosaura	Gymnophthalmidae	Squamata	Lepidosauria
Podarcis raffonei	65483	Podarcis	Lacertidae	Squamata	Lepidosauria
Sorex shinto	62286	Sorex	Soricidae	Eulipotyphla	Mammalia
Nipponia nippon	128390	Nipponia	Threskiornithidae	Pelecaniformes	Aves
Phacochoerus aethiopicus	85517	Phacochoerus	Suidae	Artiodactyla	Mammalia
Aepypodius arfakianus	30401	Aepypodius	Megapodiidae	Galliformes	Aves
Cochranella mache	526143	Cochranella	Centrolenidae	Anura	Amphibia
Petaurista elegans	135717	Petaurista	Sciuridae	Rodentia	Mammalia
Ameerega bassleri	92730	Ameerega	Dendrobatidae	Anura	Amphibia
Phyllodactylus duellmani	611290	Phyllodactylus	Phyllodactylidae	Squamata	Lepidosauria
Stenocercus ochoai	211991	Stenocercus	Iguanidae	Squamata	Lepidosauria
Thripadectes ignobilis	644990	Thripadectes	Furnariidae	Passeriformes	Aves
Hipposideros coronatus	1207988	Hipposideros	Hipposideridae	Chiroptera	Mammalia
Epibator nigrofasciolatum	394136	Epibator	Scincidae	Squamata	Lepidosauria
Lamprotornis purpureus	451406	Lamprotornis	Sturnidae	Passeriformes	Aves
Hyperolius adspersus	1138019	Hyperolius	Hyperoliidae	Anura	Amphibia
Botaurus pinnatus	555231	Botaurus	Ardeidae	Pelecaniformes	Aves
Liotyphlops albirostris	39075	Liotyphlops	Anomalepididae	Squamata	Lepidosauria
Oxylabes madagascariensis	98144	Oxylabes	Timaliidae	Passeriformes	Aves
Poicephalus meyeri	281916	Poicephalus	Psittacidae	Psittaciformes	Aves
Liolaemus uspallatensis	109439	Liolaemus	Iguanidae	Squamata	Lepidosauria
Cryptotis goldmani	268770	Cryptotis	Soricidae	Eulipotyphla	Mammalia
Pristimantis diadematus	448627	Pristimantis	Strabomantidae	Anura	Amphibia
Limnonectes fujianensis	120496	Limnonectes	Dicroglossidae	Anura	Amphibia
Rupicola rupicola	81879	Rupicola	Cotingidae	Passeriformes	Aves
Hemidactylus brookii	153723	Hemidactylus	Gekkonidae	Squamata	Lepidosauria
Ptychohyla zophodes	318388	Ptychohyla	Hylidae	Anura	Amphibia
Ochthoeca cinnamomeiventris	456401	Ochthoeca	Tyrannidae	Passeriformes	Aves
Aves	8782	Batis poensis	Batis	Passeriformes	Aves
Daboia palaestinae	1170828	Daboia	Viperidae	Squamata	Lepidosauria
Butastur teesa	387813	Butastur	Accipitridae	Accipitriformes	Aves
Mantidactylus biporus	143432	Mantidactylus	Mantellidae	Anura	Amphibia
Irania gutturalis	758447	Irania	Muscicapidae	Passeriformes	Aves
Liolaemus ruibali	109437	Liolaemus	Iguanidae	Squamata	Lepidosauria
Platyrrhinus albericoi	574073	Platyrrhinus	Phyllostomidae	Chiroptera	Mammalia
Emberiza rutila	267979	Emberiza	Fringillidae	Passeriformes	Aves
Mantidactylus melanopleura	321719	Mantidactylus	Mantellidae	Anura	Amphibia
Brookesia valerieae	187927	Brookesia	Chamaeleonidae	Squamata	Lepidosauria
Oenanthe schalowi	862676	Oenanthe	Muscicapidae	Passeriformes	Aves
