"","preprocessing_id","preprocessing_batch","sequence_id","index_id","reference_species","reference_closenees","reads_pre_fastp","reads_post_fastp","bases_pre_fastp","bases_post_fastp","adapter_trimmed_reads","adapter_trimmed_bases","host_reads","metagenomic_bases","host_bases","bacterial_archaeal_bases","singlem_fraction","nonpareil_coverage"
"38","PR00715","PRB0002","EHI00112","ABK20E1L1I1","Podarcis muralis","Same",37190432,34527894,5578564800,4865072065,8514186,401380189,608948,4779888880,85183185,2741246294,"57%",0.8449
"39","PR00716","PRB0002","EHI00113","ABK61E1L1I1","Podarcis muralis","Same",68657454,65792686,10298618100,9436528837,12339457,528276427,4125660,8819435934,617092903,5806352693,"66%",0.9273
"40","PR00717","PRB0002","EHI00114","ABL29E1L1I1","Podarcis muralis","Same",50417286,49154450,7562592900,7149848436,6590275,234375841,581288,7062674009,87174427,4384257098,"62%",0.9355
"41","PR00718","PRB0004","EHI00115","ABL03E1L1I1","Podarcis muralis","Same",42054474,39639302,6308171100,5679127341,7711467,312204302,405588,5616775080,62352261,2480030050,"44%",0.9107
"42","PR00719","PRB0004","EHI00116","ABK44E1L1I1","Podarcis muralis","Same",40237784,38696942,6035667600,5622642855,5419097,194107360,265906,5583046169,39596686,3209584803,"57%",0.9664
"43","PR00720","PRB0004","EHI00117","ABK69E1L1I1","Podarcis muralis","Same",62883168,61050828,9432475200,8747455476,12260513,444773876,2839040,8323638751,423816725,5767113140,"69%",0.927
"44","PR00721","PRB0004","EHI00118","ABL57E1L1I1","Podarcis muralis","Same",38576198,37032818,5786429700,5390034464,4982335,173957859,5151656,4605642947,784391517,3167562501,"69%",0.891
"45","PR00722","PRB0004","EHI00119","ABK59E1L1I1","Podarcis muralis","Same",44582670,43021422,6687400500,6242598871,6282248,222782466,259134,6203871307,38727564,3711790945,"60%",0.9152
"46","PR00723","PRB0004","EHI00120","ABK16E1L1I1","Podarcis muralis","Same",32898650,31455122,4934797500,4579850919,4205364,147043059,333028,4528812896,51038023,3173800613,"70%",0.8917
"47","PR00724","PRB0004","EHI00121","ABL53E1L1I1","Podarcis muralis","Same",28713540,27980368,4307031000,4058278597,4138712,148166020,7851796,2862134850,1196143747,1545227776,"54%",0.788
"48","PR00725","PRB0004","EHI00122","ABI42E1L1I1","Podarcis muralis","Same",50367214,49194748,7555082100,7158348822,6589584,240894974,366430,7102101324,56247498,5155318531,"73%",0.9244
"49","PR00726","PRB0004","EHI00124","ABI44E1L1I1","Podarcis muralis","Same",35968788,35166396,5395318200,5085156474,5707931,202078542,766134,4971985433,113171041,2930138189,"59%",0.9241
"50","PR00727","PRB0004","EHI00125","ABJ59E1L1I1","Podarcis muralis","Same",33430454,32677836,5014568100,4713721732,5640799,197653631,2139488,4400232740,313488992,2698438046,"61%",0.8579
"51","PR00728","PRB0004","EHI00126","ABK55E1L1I1","Podarcis muralis","Same",20833296,20064084,3124994400,2917306572,2745133,100313908,7104448,1722653615,1194652957,902093563,"52%",0.766
"52","PR00729","PRB0004","EHI00128","ABL76E1L1I1","Podarcis muralis","Same",30259772,29063244,4538965800,4170096964,5368939,211045563,1029222,4020760812,149336152,2496886461,"62%",0.8212
"53","PR00730","PRB0004","EHI00129","ABL33E1L1I1","Podarcis muralis","Same",26697678,25735814,4004651700,3721880903,4025239,149146329,1394122,3509154809,212726094,2306793089,"66%",0.8195
"54","PR00731","PRB0004","EHI00130","ABJ53E1L1I1","Podarcis muralis","Same",23375272,22303770,3506290800,3214583653,3803142,140394083,539022,3132238776,82344877,1746751904,"56%",0.8361
"55","PR00732","PRB0004","EHI00131","ABK96E1L1I1","Podarcis muralis","Same",18858380,18282490,2828757000,2634673814,3110717,115547302,6239724,1691258432,943415382,890496990,"53%",0.6879
"56","PR00733","PRB0004","EHI00133","ABL64E1L1I1","Podarcis muralis","Same",29398364,28827762,4409754600,4152776362,5061703,178553830,2886606,3723269437,429506925,2814048271,"76%",0.9844
"57","PR00734","PRB0004","EHI00134","ABJ55E1L1I1","Podarcis muralis","Same",56300026,55049366,8445003900,7882964416,10660810,393437511,13245770,5894822273,1988142143,2967941430,"50%",0.8678
"58","PR00735","PRB0004","EHI00137","ABK41E1L1I1","Podarcis muralis","Same",27092760,26162788,4063914000,3769080057,4471688,163642006,1667778,3518590147,250489910,1976420470,"56%",0.8786
