extraction_concentration	extraction_volume	extraction_id	extraction_total	sample_id
0.019	45	AHO96E1	0.855	AHO96
0.139	45	AEY82E1	6.255000000000001	AEY82
0.103	45	AAW65E1	4.635	AAW65
25.2	45	ABA24E1	1134	ABA24
0	45	ABT43E1	0	ABT43
3.33	45	AHI47E1	149.85	AHI47
0.46	45	AAH52E1	20.7	AAH52
4.9	45	AAQ51E1	220.50000000000003	AAQ51
10.9	45	ADL90E1	490.5	ADL90
23	45	AHI66E2	1035	AHI66
0.057	45	AHP01E1	2.565	AHP01
50.9	45	AGN51E1	2290.5	AGN51
0.0278	45	AHO78E1	1.251	AHO78
0.3	45	AAX97E1	13.5	AAX97
1.51	45	ADU72E1	67.95	ADU72
1.35	45	AAC09E1	60.75000000000001	AAC09
122	45	AIG46E2	5490	AIG46
0.248	45	ADM03E1	11.16	ADM03
16.4	45	BATA06E1	737.9999999999999	BATA06
2.76	45	AFM69E1	124.19999999999999	AFM69
7.87	45	AFU99E1	354.15	AFU99
16.3	45	AEL44E1	733.5	AEL44
0.245	45	C3_EXB0004E1	11.025	C3_EXB0004
0.187	45	AGJ25E1	8.415	AGJ25
0.0673	45	ACZ16E1	3.0284999999999997	ACZ16
0.665	45	AGB81E1	29.925	AGB81
0.0956	45	AHO68E1	4.3020000000000005	AHO68
150	17	AAD10E2	2550	AAD10
12.1	45	AEA72E1	544.5	AEA72
4.11	45	AFO83E3	184.95000000000002	AFO83
38.3	45	AIH59E2	1723.4999999999998	AIH59
7.14	45	AAB37E1	321.3	AAB37
2.75	45	AAA50E1	123.75	AAA50
15.3	45	AIG33E1	688.5	AIG33
7.1	45	ABT11E1	319.5	ABT11
64.8	45	AGG20E1	2916	AGG20
0.779	45	AAH67E1	35.055	AAH67
1.77	45	AFH50E1	79.65	AFH50
1.59	45	AHW91E4	71.55	AHW91
0.0296	45	AFI35E1	1.332	AFI35
0.0152	45	AIZ91E1	0.684	AIZ91
0.489	45	ADK10E2	22.005	ADK10
15.7	45	ABI42E1	706.5	ABI42
2.34	45	AAS03E1	105.3	AAS03
0.092	45	AA75E1	4.14	AA75
0.281	45	OPAU12E1	12.645000000000001	OPAU12
12.5	45	ABS25E1	562.5	ABS25
1.44	45	AGZ43E1	64.8	AGZ43
1.48	45	AAS32E1	66.6	AAS32
5.34	45	AGC12E1	240.29999999999998	AGC12
0.182	45	AED12E1	8.19	AED12
0.168	45	AIZ68E1	7.5600000000000005	AIZ68
0.0511	45	AHO72E1	2.2995	AHO72
0.083	45	ACC93E1	3.7350000000000003	ACC93
16.2	45	AAN28E1	729	AAN28
8.5	45	AEA94E1	382.5	AEA94
10.5	45	AHE96E1	472.5	AHE96
14.5	45	AFV99E1	652.5	AFV99
3.3	45	AAW23E1	148.5	AAW23
12.3	45	BATA02E1	553.5	BATA02
16.4	45	ABA30E1	737.9999999999999	ABA30
14.8	45	BATA07E1	666	BATA07
0.0908	45	AHO92E1	4.086	AHO92
0.0973	45	AGZ41E1	4.3785	AGZ41
0.447	45	ADL34E1	20.115000000000002	ADL34
1.95	30	ADA67E2	58.5	ADA67
0	45	ADU88E1	0	ADU88
39	45	AIG31E2	1755	AIG31
1.53	45	AFN12E1	68.85	AFN12
1.72	45	OPAU68E1	77.4	OPAU68
0.243	45	AGH20E1	10.935	AGH20
7.02	45	AAZ81E1	315.9	AAZ81
23.9	45	ABO34E2	1075.5	ABO34
1.49	45	AAS16E1	67.05	AAS16
1.2	45	AAD58E1	54	AAD58
2.86	45	ADA12E1	128.7	ADA12
0.0365	45	AGZ61E1	1.6424999999999998	AGZ61
0.145	45	AHI33E2	6.5249999999999995	AHI33
0.168	45	AGZ02E1	7.5600000000000005	AGZ02
4.31	45	AAD65E1	193.95	AAD65
9.26	45	ABG66E1	416.7	ABG66
8.13	45	AAT07E1	365.85	AAT07
1.78	45	AHI74E1	80.1	AHI74
4.79	45	AEC37E1	215.55	AEC37
0.569	45	AAT43E1	25.604999999999997	AAT43
6.65	45	AEL73E1	299.25	AEL73
0	45	ADV55E2	0	ADV55
4.08	45	ACB33E1	183.6	ACB33
15.3	45	AAU58E1	688.5	AAU58
1.68	45	ADU47E1	75.6	ADU47
0	45	C1_EXB0004E1	0	C1_EXB0004
7.37	45	AGN40E1	331.65	AGN40
0.207	45	ACB61E2	9.315	ACB61
0.19	45	AAX74E1	8.55	AAX74
4.71	45	ABP93E1	211.95	ABP93
18	45	ABL72E1	810	ABL72
2	45	AFV18E3	90	AFV18
6.34	45	ABB21E1	285.3	ABB21
9.62	45	ADJ92E1	432.9	ADJ92
9.08	45	ABN91E1	408.6	ABN91
2.06	45	AAB84E1	92.7	AAB84
0.736	17	AAT50E2	12.512	AAT50
0	45	AAT29E1	0	AAT29
0.0826	45	AKD82E1	3.7170000000000005	AKD82
21.3	45	ABK04E1	958.5	ABK04
5.49	45	AAV94E1	247.05	AAV94
12.7	45	AII09E1	571.5	AII09
2.63	45	AJP69E1	118.35	AJP69
29.4	45	AIS02E1	1323	AIS02
11.5	45	AHV47E1	517.5	AHV47
1.61	45	AAA56E1	72.45	AAA56
0.296	45	ACP03E1	13.319999999999999	ACP03
2.26	45	ACZ58E1	101.69999999999999	ACZ58
70.8	45	ABZ28E1	3186	ABZ28
0.074	45	AIF75E1	3.3299999999999996	AIF75
12.6	17	AAT61E2	214.2	AAT61
2.61	45	ABQ10E1	117.44999999999999	ABQ10
0	45	C1_EXB0026E1	0	C1_EXB0026
0.93	45	AAD15E1	41.85	AAD15
