sequence_id	sequence_data	sequence_q20	sequence_q30	sequence_gc	index_id
EHI02213	NA	NA	NA	NA	AHD25E1L1I1
EHI00850	8.8406301	96.98	92.83	56.66	ACD05E1L1I1
EHI00539	6.4	97.44	93.23	41.76	ADD83E1L1I1
EHI01027	4.2289848	96.99	92.16	42.21	ACB33E1L1I1
EHI02023	4.503912	96.9	92.14	49.11	ACH42E1L1I1
EHI01391	6.9174171	97.19	92.49	36.5	ACK88E1L1I1
EHI00526	6.2	97.69	93.74	48.55	AFV64E1L1I1
EHI02222	NA	NA	NA	NA	AHG67E1L1I1
EHI00689	2.0288388	96.9	92.12	44.66	AEX46E1L1I1
EHI01187	2.7669606	96.44	91.48	43.64	AII31E1L1I1
EHI01503	7.147761	96.3	91.78	48.27	AAU92E1L1I1
EHI02017	4.3397424000000004	96.94	92.21	47.73	AEL38E1L1I1
EHI00778	4.6132248	96.81	91.9	40.39	AGG09E1L1I1
EHI00540	6.3	97.06	92.95	45.36	OPAU40E1L1I1
EHI01774	9.125427	96.8	91.96	45.42	ADU37E1L1I1
EHI00050	3.3	94.96	88.28	44.19	AAD12E1L1I2
EHI00107	6.3	94.47	87.96	45.82	ABL02E1L1I1
EHI00086	2.8	94.8	87.87	44.24	ABK90E1L1I1
EHI02049	NA	NA	NA	NA	AFT20E1L1I1
EHI00252	5	95.64	89.48	40.79	ABT15E1L1I2
EHI02312	NA	NA	NA	NA	C1_EXB0085E1L1I1
EHI01992	4.4565711	97.18	92.79	44.42	AJP69E1L1I1
EHI01984	7.4740737	97.18	92.83	48.15	AIQ79E1L1I1
EHI02541	5.6345403	96.97	92.47	49.68	AHN27E1L1I1
EHI01515	5.3967078	96.42	91.46	48.88	ACH54E1L1I1
EHI01494	8.0019651	96.18	90.9	47.25	ABA48E1L1I1
EHI02376	12.1516155	96.8	92.09	46.95	ABE19E1L1I1
EHI02539	5.6691576	96.82	92.02	47.94	AHO86E1L1I1
EHI02243	NA	NA	NA	NA	AEU37E1L1I1
EHI00925	4.1366634	97.52	93.31	51.14	ABQ28E1L1I1
EHI00993	4.3488393	97.62	93.64	55.88	ACD60E1L1I1
EHI01725	7.9621452	96.41	91.22	44.09	ABK72E1L1I1
EHI02629	4.0907001	98.5	95.91	42.42	AGO39E1L1I1
EHI02505	5.2424796	96.96	92.52	40.94	AEY65E1L1I1
EHI00305	3.5	96.69	91.48	50.05	BATC17E1L1I2
EHI01450	3.1788501	96.55	91.34	43.82	AAP37E1L1I1
EHI00741	4.4448759	96.8	91.96	44.98	AFM81E1L1I1
EHI00023	4.3	94.09	87.03	44.01	AAS22E1L1I1
EHI00363	5.18	95.5	89.87	52.61	ADV74E1L1I1
EHI00218	4.6	96.73	91.63	46.59	ABL68E1L2I1
EHI02364	5.267238	97.53	93.47	40.28	ADJ82E1L1I1
EHI00843	4.7917647	96.94	92.48	45.95	ACD92E1L1I1
EHI02125	NA	NA	NA	NA	AGI58E1L1I1
EHI00815	6.8505615	97.33	92.99	42.98	ACD23E1L1I1
EHI02002	5.5738623	96.53	91.64	48.69	AAV53E1L1I1
EHI00338	7.1	96.53	91.18	42.15	ABW36E1L1I2
EHI02195	NA	NA	NA	NA	AHE10E1L1I1
EHI02579	4.2003081	98.5	95.94	43.54	AGO24E1L1I1
EHI01437	5.3016408	96.79	91.84	44.46	AAP06E1L1I1
EHI01593	3.5808699	96.23	90.92	43.37	AFV63E1L1I1
EHI02251	NA	NA	NA	NA	AGH30E1L1I1
EHI00198	0.1	95.97	90.23	43.49	ABI47E2L1I1
EHI00008	2.7	94.51	87.69	42.9	AAS36E1L1I1
EHI01036	7.4472354	97.23	92.89	42.11	ABZ35E1L1I1
EHI01421	2.1892044	96.39	91.64	42.56	AB13E1L1I1
EHI01542	5.7273843	96.57	91.49	42.16	AAW40E1L1I1
EHI00831	6.9713472	97	92.52	44.44	ACD26E1L1I1
EHI00272	3.9	95.99	90.48	42.1	ABC64E1L1I1
EHI00237	4.1	96.16	90.87	42.86	AAX97E1L1I1
EHI01351	6.0202611	96.83	91.82	39.23	AFT49E1L1I1
EHI00408	3.41	96.59	91.23	49.59	AAA67E1L1I1
EHI00533	6.6	97.46	93.16	40.1	ABO09E1L1I1
EHI02056	NA	NA	NA	NA	AFT08E1L1I1
EHI00316	7.1	95.93	90	41.72	ADF01E1L1I2
EHI01999	5.0325354	96.77	92.12	46.84	AEM16E1L1I1
EHI01620	2.9066232	95.67	90.04	42.65	AAP88E1L1I1
EHI01363	5.4853704	97.12	92.45	40.61	ACR77E1L1I1
EHI01544	10.8674805	96.79	91.87	43.11	AAW60E1L1I1
EHI02469	4.2876171	97.49	93.46	36.57	AAD97E1L1I1
EHI01987	4.6686777	96.69	91.82	47.29	AIQ57E1L1I1
EHI02161	NA	NA	NA	NA	AHB72E1L1I1
EHI02440	3.9591924	97.21	93.07	37.71	AAH57E1L1I1
EHI00527	10.6	97.53	93.29	44.68	ADM14E1L1I1
EHI01446	4.2691521	95.8	90.24	45.22	AAP48E1L1I1
EHI02534	4.1461071	96.76	92.31	46.87	AIV75E1L1I1
EHI00904	5.8098366	97.26	92.65	42.67	ABS91E1L1I1
EHI02183	NA	NA	NA	NA	ABH96E1L1I1
EHI00337	4	95.85	89.87	41.02	ABT11E1L1I2
EHI01744	2.3205012	97	92.12	40.17	ABO79E1L1I1
EHI00491	5	97.14	92.93	49.9	AGF95E1L1I1
EHI00573	5	96.64	92.23	42.7	C1_EXB0032E1L1I1
EHI00749	7.033635	96.11	90.81	44.24	AFM39E1L1I1
EHI01546	3.8392758	96.93	92.38	43.23	AAW68E1L1I1
EHI01614	3.5105709	96.23	91.06	44.99	AAP51E1L1I1
EHI01212	3.3210267	96.68	91.49	41.41	AAE23E1L1I1
EHI02573	4.5605337	98.49	95.91	45.5	AGO36E1L1I1
EHI01015	5.3957667	97.02	91.93	40.99	ABP10E1L1I1
EHI01180	5.3778405	96.52	92.4	44.59	AEA75E1L1I1
EHI00034	4.1	95.56	89.22	49.3	NSAP27E1L1I1
EHI00333	2.8	96.87	91.85	51.89	BATC04E1L1I2
EHI01512	8.0838768	96.28	91.21	47.29	AAZ79E1L1I1
EHI01329	6.3030012	96.77	91.81	38.67	AGD36E1L1I1
EHI02381	0.1913607	95.91	90.76	46.18	AEY96E1L1I1
EHI02293	NA	NA	NA	NA	AHG79E1L1I1
EHI01967	5.721528	97.12	92.6	44.26	AJP47E1L1I1
EHI02160	NA	NA	NA	NA	AHB71E1L1I1
EHI02686	5.8545795	97.9	94.68	41.76	AHO84E1L1I1
EHI00835	14.0752572	96.85	92.26	42.56	AAH63E1L1I1
EHI00734	3.735807	96.65	91.66	45.2	AEY27E1L1I1
EHI00820	6.7484994	97.36	93.08	46.55	ACC89E1L1I1
EHI01041	6.867594	97.34	92.62	41.35	ABZ25E1L1I1
EHI02429	3.910137	97	92.39	42.83	AAD50E1L1I1
EHI00370	4.65	96.49	90.99	43.89	AFN38E1L1I1
EHI02270	NA	NA	NA	NA	ABB18E1L1I1
EHI00607	7.1	97.13	92.69	44.54	ACB23E1L1I1
EHI00736	3.3132978	96.62	91.84	43.92	AFM27E1L1I1
EHI01155	2.7774564	96.48	91.98	45.1	AIH44E1L1I1
EHI00135	3.8	94.96	88.04	40.65	AAW22E1L1I1
EHI01006	3.9268884	96.69	91.51	40.55	ADE14E1L1I1
EHI01649	10.0474245	96.5	91.86	46.2	AIG09E1L1I1
EHI01963	3.6518976	97.01	92.49	47.71	AIQ78E1L1I1
EHI02560	0.6811698	96.93	92.38	54.31	AHO96E1L1I1
EHI02398	7.7049723	96.73	92.01	56.16	AGZ39E1L1I1
EHI00242	7.5	96.59	91.1	39.96	AAA64E1L1I1
EHI02471	5.005629	97.05	92.86	39.81	AFN37E1L1I1
EHI01781	2.7678327	97.2	92.64	48.07	AGI34E1L1I1
EHI01718	7.0403292	95.72	90.45	44.1	ABK49E1L1I1
EHI02403	3.391047	94.32	87.7	44.13	AAH45E1L1I1
EHI02354	4.5337113	97.57	93.66	41.31	ADG55E1L1I1
EHI00044	5.7	95.33	88.79	46.24	NSAP19E1L1I1
EHI02510	5.1750057	97.32	93.14	45.81	AFF67E1L1I1
EHI01783	3.8079267	97.29	93.03	57.21	AGI03E1L1I1
EHI01632	8.0541588	96.83	92.08	41.73	AGZ61E1L1I1
EHI00417	3.81	97.09	92.24	47.85	AAA89E1L1I1
EHI02010	4.2417567	96.44	91.08	57.67	ADW01E1L1I1
EHI02409	4.6061262	97.7	93.95	39.55	AAD64E1L1I1
EHI02316	NA	NA	NA	NA	NA
EHI02462	4.6122597	97.59	93.74	38.3	ACP04E1L1I1
EHI01152	6.4042824	97	92.55	44.43	AII15E1L1I1
EHI00766	7.4528046	97.2	92.42	40.62	AFU69E1L1I1
EHI00425	3.9	96.77	92.08	43.2	ACC18E2L1I1
EHI00177	5.2	95.12	88.24	40.53	ABJ49E1L2I1
EHI00898	4.8075819	97.57	93.22	43.82	ABP75E1L1I1
