metagenomic_bases	nonpareil_coverage	preprocessing_id	host_bases	reference_closenees	sequence_id	reads_pre_fastp	reads_post_fastp	bases_pre_fastp	bases_post_fastp	adapter_trimmed_reads	adapter_trimmed_bases	host_reads	singlem_fraction	host_duplicate_fraction	reference_id	sample_id
4455985998	0.562382864919245	PR03102	107209498	Other	EHI02379	33349720	31462228	5002458000	4563195496	5800221	166259323	719055	0.3096	0.076138	G0082	AEZ01
4234895895	0.7936374687066	PR02666	11886522	Same	EHI01861	30189030	29105712	4528354500	4246782417	4250400	128610811	80842	0.6566	0.080278	G0074	AIQ49
3084075255	0.872822963360856	PR00737	34225947	Same	EHI00139	22789968	21611794	3418495200	3118301202	3561653	131523178	226562	0.574	NA	G0001	ABJ83
1030944102	0.718389226494585	PR03297	4673181760	Other	EHI02692	40631816	39088114	6094772400	5704125862	6463481	200217604	30841120	0.33	0.41016	G0070	AHO27
5168254603	0.862058021155043	PR02669	398887483	Same	EHI01965	39503060	38050380	5925459000	5567142086	5094041	150998582	2698921	0.6653	0.076088	G0074	AIQ76
0	0.604433938256481	PR01055	5861686220	Other	EHI00275	40911508	39843952	6136726200	5861686220	3626508	123424928	30581370	0	NA	G0018	ABT71
0	0	PR01656	3434905394	Same	EHI00869	25114876	24123532	3767231400	3434905394	5053426	205662457	23472748	0	NA	G0032	AAQ47
0	0	PR02071	0	Same	EHI01396	NA	NA	NA	NA	NA	NA	NA	NA	NA	G0014	AFT42
4134681790	0.913953196494558	PR01457	486656279	Same	EHI00770	31485316	31123358	4722797400	4621338069	1824669	48253161	3142382	0.6133	NA	G0001	AFU85
0	0.616240192635832	PR01084	2749053065	Other	EHI00019	20246460	19275048	3036969000	2749053065	4415023	185843317	17535472	0	NA	G0003	AAS29
0	0.729329317147492	PR02265	211342338	Other	EHI01590	1669976	1541698	250496400	211342338	652831	25342960	115261	0	0.177625	G0068	AFN19
4642961628	0.897511332451497	PR00711	184257358	Same	EHI00107	34727030	33372668	5209054500	4827218986	5234682	189439081	1212064	0.5839	NA	G0001	ABL02
0	0.469032088658943	PR00977	3323626076	Same	EHI00468	31716972	26537236	4757545800	3323626076	17082871	936709020	21343834	0	NA	G0016	AGH38
1466752482	0.722961266459251	PR02766	1655100106	Other	EHI02155	21893124	21297706	3283968600	3121852588	2608623	75782897	10053818	0.48719999999999997	0.11787	G0001	AHB48
3967378751	0.957076662475983	PR02124	996368	Same	EHI01318	27144078	26672712	4071611700	3968375119	1316535	33060441	7332	0.9887999999999999	0.208392	G0056	AGD19
6351791723	0.906649161872041	PR00810	133011864	Same	EHI00567	46275402	45434172	6941310300	6484803587	9467941	362966342	914534	0.5399	NA	G0001	ADL70
4003930386	0.996352036867929	PR02913	1739923	Other	EHI02135	89229150	27672286	13384372500	4005670309	62791465	3511353787	13029	0.9020999999999999	0.956083	G0033	C1_EXB0076
0	0.912966735348656	PR01933	4798964482	Same	EHI01144	37276396	34823390	5591459400	4798964482	12265541	547252808	28772440	0	NA	G0054	AIG46
3952797002	0.954414418440309	PR02462	3167358732	Same	EHI01522	49668854	48056350	7450328100	7120155734	3552510	97754320	21305012	0.9148999999999999	0.289042	G0008	AEL13
2212910782	0.799679497025373	PR02741	3084715614	Same	EHI02011	37663190	36454294	5649478500	5297626396	6056102	179357407	20969332	0.6589	0.075114	G0008	ACG49
0	0.696092890645149	PR02043	3577055612	Other	EHI01227	24709278	24034716	3706391700	3577055612	1171467	34097873	21307714	0	NA	G0025	AAD61
5978499274	0.943914687016838	PR02432	70055758	Same	EHI01462	41976234	40827790	6296435100	6048555032	2872116	81671404	498888	0.8181999999999999	0.219994	G0008	ACH19
3260037404	0.912146144649387	PR03091	40177	Other	EHI02339	22849774	22274158	3427466100	3260077581	3046820	85988294	240	0.7870999999999999	0	G0081	AFH83
1021831000	0.507587565814595	PR01534	3782238558	Same	EHI00864	34696706	33661884	5204505900	4804069558	7193912	274525345	26186172	0.512	NA	G0002	AAL55
3616409341	0.815665120934332	PR03104	2076123	Same	EHI02446	25678494	24740606	3851774100	3618485464	3386895	95868671	14178	0.5827	0.086905	G0083	AFI82
0	0	PR01032	2807259582	Other	EHI00159	20367352	19602296	3055102800	2807259582	3755862	143527330	19034062	0	NA	G0004	AAC09
0	0	PR01583	4017846894	Same	EHI00887	28650548	27873578	4297582200	4017846894	4658022	172268599	27404672	0	NA	G0008	ABW38
4008645786	0.814751922193479	PR02687	21159611	Same	EHI01991	28973364	27623054	4346004600	4029805397	4082724	121550422	144962	0.6315	0.07583	G0074	AIQ53
5428487421	0.867127074882886	PR02483	64808279	Same	EHI01666	38617418	37311866	5792612700	5493295700	3899536	108972236	437431	0.1334	0.109078	G0071	OPAU32
9471963516	0.911399254624469	PR00812	169999886	Same	EHI00569	68852474	67441334	10327871100	9641963402	14295698	506635813	1140448	0.542	NA	G0001	ADM16
4757962906	0.865440789140709	PR02214	2551853	Same	EHI01259	32789118	32017138	4918367700	4760514759	1680701	43001641	17143	0.7884	0.217023	G0065	AHQ46
0	0.635078640958422	PR01557	6313693683	Same	EHI00976	44416838	43612230	6662525700	6313693683	6817366	245313201	39980670	0	NA	G0002	ABG01
