library_id	library_adaptor_molarity	library_PCR_cycles_required	library_input_dna	library_input_volume	extraction_id	sample_id	sequencing_datasets
AAP72E1L1	10	7	47.04	24	AAP72E1	AAP72	EHI01629
ACB37E1L1	20	16	43.44	24	ACB37E1	ACB37	EHI00348
ACZ64E1L1	5	10	3.12	24	ACZ64E1	ACZ64	NA
ACZ18E1L1	10	6	22.32	24	ACZ18E1	ACZ18	NA
C1_EXB0030E1L1	10	21	0.96	24	C1_EXB0030E1	C1_EXB0030	NA
ACD88E1L1	2	21	0	24	ACD88E1	ACD88	EHI00855
AGO47E1L1	20	6	200	24	AGO47E1	AGO47	EHI02618
ABB18E1L1	20	6	200	17.7	ABB18E1	ABB18	EHI02270
AFU85E1L1	10	5	15.2	24	AFU85E1	AFU85	EHI00770
OPAU9E2L1	20	18	99.36	24	OPAU9E2	OPAU9	NA
AAI10E1L1	20	10	65.04	24	AAI10E1	AAI10	EHI00801
AFQ79E2L1	20	6	197	6	AFQ79E2	AFQ79	EHI01069
ADU65E1L1	10	15	22.968	24	ADU65E1	ADU65	EHI01776
AEL64E1L1	20	4	200	8.2	AEL64E1	AEL64	EHI00406
ABO44E1L1	20	7	155.52	24	ABO44E1	ABO44	EHI00942
C1_EXB0087E1L1	2	22	0.048	24	C1_EXB0087E1	C1_EXB0087	EHI02313
AEL88E1L1	20	8	90.96	24	AEL88E1	AEL88	EHI01520
AAZ47E1L1	20	9	103.68	24	AAZ47E1	AAZ47	EHI01521
AGO02E1L1	20	8	118.32	24	AGO02E1	AGO02	NA
AAC07E1L2	10	0	2.16	24	AAC07E1	AAC07	NA
ACR95E1L1	5	13	3.48	24	ACR95E1	ACR95	EHI01408
AHV53E1L1	20	26	200	15.5	AHV53E1	AHV53	NA
OPAU44E1L1	20	6	58.08	24	OPAU44E1	OPAU44	EHI00502
ADG45E1L1	10	6	12.912	24	ADG45E1	ADG45	EHI02366
AEL13E1L1	5	10	7.344	24	AEL13E1	AEL13	EHI01522
AIQ57E1L1	20	4	200	21.9	AIQ57E1	AIQ57	EHI01987
AIH79E1L1	20	4	200	12.7	AIH79E1	AIH79	EHI01138
