mapping_percentage	sequence_id	mapping_id
73.02894	EHI02352	DM03461
79.42954	EHI02466	DM03396
48.76275	EHI01560	DM01783
0.09639	EHI00015	DM00944
48.53005	EHI01177	DM00709
16.56723	EHI00938	DM02643
4.54272	EHI01123	DM00894
65.42531	EHI00081	DM00783
77.44135	EHI01073	DM01354
19.64062	EHI00026	DM01020
84.18205	EHI01523	DM02015
NA	NA	DM00287
83.88457	EHI01549	DM01987
7.57008	EHI01230	DM03513
58.98194	EHI00856	DM02538
67.41447	EHI01001	DM00486
31.84475	EHI00350	DM01257
82.0997	EHI00538	DM02742
72.04776	EHI00564	DM00517
82.61795	EHI01517	DM03194
46.82887	EHI02114	DM03026
69.77857	EHI01090	DM02912
11.19235	EHI01511	DM01925
68.28976	EHI02252	DM03618
73.44786	EHI00077	DM00757
NA	NA	DM00251
32.26685	EHI00832	DM02531
23.18826	EHI01110	DM02288
89.18382	EHI00269	DM03369
43.93548	EHI01180	DM00711
82.12803	EHI01480	DM01932
89.60992	EHI00502	DM01622
16.56723	EHI00938	DM02406
37.8042	EHI00680	DM00178
0.63624	EHI01094	DM00865
73.15859	EHI00458	DM02816
79.16976	EHI02387	DM03454
54.04119	EHI01179	DM00705
2.47205	EHI01221	DM01845
45.76911	EHI02074	DM03071
89.67606	EHI01301	DM01404
81.20804	EHI00383	DM03347
0.53522	EHI01145	DM02290
81.48854	EHI00108	DM02775
53.99228	EHI00675	DM00631
68.50513	EHI01612	DM01836
63.31517	EHI01178	DM00741
6.165	EHI00238	DM02194
88.20627	EHI01478	DM01875
59.85887	EHI02092	DM03087
12.69788	EHI01771	DM03260
26.23609	EHI02112	DM03115
71.29843	EHI00088	DM00817
82.14223	EHI00376	DM02102
12.70624	EHI01695	DM02728
88.98416	EHI01296	DM01417
82.91749	EHI00792	DM02426
10.36499	EHI00531	DM01618
62.55588	EHI01341	DM01499
75.41375	EHI02595	DM03686
87.40057	EHI01504	DM03230
NA	NA	DM00262
0.02869	EHI00079	DM00114
77.05643	EHI01621	DM03746
64.81744	EHI02385	DM03435
86.98282	EHI01302	DM01403
NA	NA	DM00358
1.81821	EHI01171	DM03490
77.7494	EHI01062	DM01116
33.59964	EHI00213	DM02514
60.62577	EHI01992	DM02959
54.60331	EHI00212	DM02331
72.41721	EHI00363	DM01076
2.37238	EHI01148	DM00833
45.66334	EHI01653	DM02906
41.53422	EHI01166	DM01758
10.62695	EHI01227	DM03523
71.37241	EHI01610	DM01837
3.07752	EHI00809	DM02414
71.54073	EHI00441	DM00673
83.88594	EHI00655	DM01591
30.11108	EHI00653	DM01607
69.35284	EHI00119	DM00825
0.02869	EHI00079	DM00102
81.35244	EHI02242	DM03272
2.42088	EHI02128	DM02995
30.28984	EHI00687	DM00169
70.42233	EHI01346	DM02343
80.10523	EHI00165	DM00027
69.76146	EHI02374	DM03452
87.56471	EHI01308	DM01421
6.9304	EHI00652	DM01552
30.18218	EHI01251	DM01515
73.52656	EHI00428	DM00692
2.01305	EHI01181	DM00914
67.17685	EHI01390	DM01470
61.52026	EHI02094	DM03027
82.66878	EHI00422	DM02771
66.86378	EHI00137	DM00790
24.11528	EHI00191	DM03377
82.49843	EHI00399	DM02041
0.90448	EHI01131	DM01178
36.11635	EHI02351	DM03449
85.31679	EHI01068	DM01381
29.30067	EHI00700	DM00170
3.10902	EHI01794	DM02897
6.59068	EHI00023	DM00966
0.55341	EHI01094	DM02310
19.87587	EHI00034	DM00149
83.4711	EHI01557	DM01991
17.21268	EHI02543	DM03599
82.23839	EHI01513	DM03359
14.8151	EHI01109	DM02303
0.19678	EHI00619	DM01649
63.49227	EHI00853	DM02189
39.1605	EHI01644	DM01855
89.46789	EHI01327	DM01450
49.38282	EHI00532	DM02204
87.0192	EHI01293	DM01395
67.52025	EHI01257	DM01491
69.06896	EHI00699	DM00602
49.40006	EHI00849	DM02190
76.16638	EHI00097	DM02752
33.90855	EHI00751	DM00179
0.02869	EHI00079	DM00080
35.46642	EHI00336	DM01265
6.93469	EHI01125	DM01170
55.54269	EHI01046	DM01109
72.10054	EHI02061	DM03054
10.27299	EHI00088	DM02850
81.32167	EHI00391	DM00496
84.88648	EHI01319	DM01302
22.36343	EHI02498	DM03500
NA	NA	DM00414
43.93548	EHI01180	DM00719
24.76463	EHI02112	DM03010
84.71335	EHI01497	DM02049
76.61372	EHI00476	DM00573
48.83754	EHI00838	DM02683
0	EHI00061	DM02246
3.05436	EHI01091	DM00884
NA	NA	DM00438
25.39741	EHI00681	DM00186
90.70277	EHI01288	DM01401
16.64975	EHI00031	DM01017
81.27788	EHI00850	DM02571
0	EHI00059	DM02238
25.95116	EHI02594	DM03668
6.165	EHI00238	DM02168
NA	NA	DM00212
73.39008	EHI02620	DM03764
51.18318	EHI00557	DM01220
80.07433	EHI00177	DM02747
73.83411	EHI01143	DM02940
70.55787	EHI01998	DM03229
93.55219	EHI00388	DM00581
78.68159	EHI01071	DM02506
74.11933	EHI02050	DM03045
85.99184	EHI01460	DM02079
57.31506	EHI00979	DM02268
66.87445	EHI02574	DM03699
78.93332	EHI00545	DM00469
83.63364	EHI00417	DM03349
0.02869	EHI00079	DM00116
58.75026	EHI00361	DM02037
79.33275	EHI01770	DM03300
79.19872	EHI01533	DM01801
45.939	EHI00733	DM00194
77.409	EHI01979	DM03793
84.84414	EHI01526	DM01946
0.66143	EHI00578	DM01599
79.94056	EHI00181	DM00789
25.18073	EHI01701	DM02635
69.78058	EHI00837	DM02488
24.23955	EHI00654	DM01645
14.24707	EHI02471	DM03382
NA	NA	DM00205
NA	NA	DM00336
77.01043	EHI02068	DM03155
80.85994	EHI02256	DM03211
64.7959	EHI00568	DM02797
35.57607	EHI01427	DM02380
52.7157	EHI00970	DM02205
0.11509	EHI00601	DM01558
84.87574	EHI01512	DM03302
53.92719	EHI00798	DM03404
75.60278	EHI00514	DM00676
NA	NA	DM00435
0.09088	EHI00583	DM01626
3.14975	EHI00022	DM00154
58.67873	EHI00361	DM01871
50.98172	EHI01563	DM01785
73.49557	EHI01063	DM01353
79.55161	EHI00235	DM02681
59.83541	EHI00069	DM00759
50.36682	EHI01178	DM00707
60.92051	EHI00107	DM00769
6.93461	EHI01436	DM03758
80.86982	EHI00110	DM02792
0.75455	EHI01102	DM02285
69.08503	EHI00674	DM01696
NA	NA	DM00263
82.68561	EHI01440	DM03748
58.83765	EHI01345	DM01497
77.15973	EHI02624	DM03786
78.5036	EHI01500	DM03329
87.81677	EHI01383	DM01430
66.84673	EHI00113	DM00820
69.44312	EHI01625	DM01808
10.62206	EHI00020	DM00936
85.79668	EHI01487	DM01909
76.29903	EHI00852	DM02540
0.02508	EHI00626	DM01663
2.69262	EHI00803	DM02642
NA	NA	DM00247
0.578	EHI01099	DM00913
4.05789	EHI01632	DM03613
77.35851	EHI01496	DM01920
88.90378	EHI01321	DM01343
7.16267	EHI00009	DM00138
59.67073	EHI01176	DM00738
42.16629	EHI02413	DM03366
81.28637	EHI00689	DM01700
21.61289	EHI01203	DM03475
0.00375	EHI00835	DM02390
93.68752	EHI00349	DM01246
84.54794	EHI02605	DM03733
85.10441	EHI01484	DM02044
26.38268	EHI00497	DM01084
53.92228	EHI01982	DM02954
43.80804	EHI01116	DM00905
NA	EHI01414	DM01461
61.77405	EHI01697	DM03602
59.89143	EHI00648	DM01549
76.58855	EHI00418	DM00471
83.22293	EHI00389	DM01874
0.02672	EHI00835	DM03363
15.17381	EHI01702	DM02631
12.37459	EHI01117	DM00880
84.99835	EHI01528	DM01903
52.53768	EHI00851	DM02690
58.96386	EHI01273	DM01505
19.86942	EHI01210	DM03489
35.09415	EHI00663	DM01278
1.48052	EHI00526	DM01382
78.7329	EHI01984	DM02980
NA	NA	DM00249
58.03853	EHI00682	DM01675
0.09639	EHI00015	DM00997
7.17207	EHI01127	DM01179
73.21433	EHI00341	DM00455
0.57592	EHI00109	DM00023
0.00303	EHI02122	DM02987
82.69984	EHI01499	DM02025
83.10032	EHI02029	DM03276
88.12073	EHI01305	DM01424
55.51575	EHI01444	DM03719
5.39249	EHI01356	DM03407
2.62828	EHI01373	DM03657
69.27579	EHI00740	DM02140
31.12015	EHI01235	DM03483
74.44425	EHI01698	DM02725
5.29456	EHI00007	DM00127
18.68395	EHI00037	DM01004
72.80498	EHI00144	DM01275
85.10915	EHI01514	DM03189
16.23907	EHI00206	DM02436
83.46729	EHI01453	DM02013
NA	NA	DM00382
11.76083	EHI00149	DM01001
0.38777	EHI00039	DM00156
NA	NA	DM00386
2.18448	EHI00171	DM02224
1.98338	EHI01190	DM01127
92.1052	EHI02143	DM03109
68.08426	EHI02344	DM03566
90.54149	EHI01328	DM01347
84.38606	EHI00371	DM01042
82.57679	EHI00169	DM03283
NA	NA	DM00261
60.41194	EHI01442	DM03730
48.20182	EHI00106	DM02832
NA	NA	DM00324
56.73908	EHI00831	DM02577
70.97613	EHI00880	DM01217
16.56723	EHI00938	DM02707
79.10933	EHI00451	DM02738
90.47516	EHI01313	DM01437
69.78058	EHI00837	DM02536
73.99313	EHI02088	DM03797
40.21118	EHI01644	DM02936
32.67448	EHI00033	DM00954
71.5094	EHI01995	DM03783
81.72191	EHI00411	DM03235
20.65595	EHI00977	DM02376
41.48293	EHI02506	DM03386
58.41287	EHI01276	DM02202
2.80716	EHI01793	DM02911
55.88699	EHI01234	DM01755
67.34366	EHI00556	DM02720
76.97654	EHI01265	DM01493
42.95202	EHI01051	DM02511
81.52613	EHI00142	DM02006
73.80781	EHI01274	DM01472
56.77317	EHI00086	DM00798
15.31035	EHI00492	DM01078
NA	NA	DM00337
0.00922	EHI02133	DM02988
74.239	EHI00382	DM01267
47.91331	EHI00509	DM00523
57.14123	EHI00034	DM01025
73.37137	EHI02073	DM03560
35.76783	EHI01223	DM00899
69.66435	EHI01631	DM03721
49.9754	EHI01175	DM00728
56.73908	EHI00831	DM02541
90.6104	EHI01329	DM01329
45.7946	EHI01267	DM01517
83.59383	EHI01382	DM01419
41.22192	EHI00559	DM02712
81.55297	EHI00680	DM01684
26.08261	EHI01216	DM03504
68.91002	EHI00722	DM02150
0.84031	EHI01129	DM00916
59.48597	EHI02073	DM03024
85.60883	EHI02129	DM03082
NA	NA	DM00222
NA	NA	DM00403
49.9754	EHI01175	DM00704
44.44431	EHI02474	DM03367
77.1765	EHI00885	DM01636
71.62181	EHI02398	DM03662
1.00388	EHI01366	DM03663
77.93211	EHI00406	DM00578
84.42346	EHI01527	DM01947
NA	NA	DM00272
0.44045	EHI00969	DM01389
9.29061	EHI01821	DM02921
2.22416	EHI01183	DM00851
0	EHI00055	DM02236
0.99706	EHI01095	DM01148
35.0467	EHI00684	DM00173
