sample_type	sample_origin	sample_freshness	sample_freezing	sample_id	capture_place	specimen_length	specimen_weight	specimen_id	specimen_family	specimen_species	capture_biome	capture_environment	specimen_development	specimen_sex	capture_latitude	capture_longitude	capture_country	specimen_order	specimen_class	capture_id	tax_group
Faecal	Animal	< 1 minute	< 1 day	ADA43	NA	NA	NA	SD01429	Vespertilionidae	Plecotus auritus	1000221 - Temperate woodland	NA	Adult	Female	52.07	13.42	recVYUv3aeAtg7Vdd	Chiroptera	Mammalia	SD0142901	Bats
Skin swab	Animal	< 1 minute	< 21 days	AHN87	NA	40.78	5.4	SD03303	Bombinatoridae	Bombina sp.	1000198 - Mixed forest	Side ditch road	Adult	Female	47.89	19.99	recswsHtDSgulNghS	Anura	Amphibia	SD0330301	Amphibians
Faecal	Trap	< 1 hour	< 1 day	ABQ72	NA	72	325	SD01856	Sciuridae	Sciurus vulgaris	1000197 - Broadleaf forest	Oak, ash, beech, hazel forest	Nursing	Female	53.3	-9.07	recRFp4BbEGSFTNHf	Rodentia	Mammalia	SD0185601	Mammals
Tissue	Animal	< 1 minute	< 1 day	AAB57	Curone	61	330	SD00464	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	oak-hornbeam forest	Nursing	Female	45.73	9.38	recrACkHppgdXdQse	Rodentia	Mammalia	SD0046401	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AIZ51	NA	120	34.5	SD04456	Salamandridae	Salamandra salamandra gallaica	1000221 - Temperate woodland	Small stream with steep bank running through deciduous grove.	Adult	Male	41.29	-8.61	recAf61NgigHFbcBU	Urodela	Amphibia	SD0445601	Amphibians
Tissue	Animal	< 1 minute	< 14 days	AHA14	NA	67	7.55	SD04232	Lacertidae	Podarcis cretensis	1000221 - Temperate woodland	gorge	Adult	Male	35.44	24	rec8ZSYhXQpuQrkxi	Squamata	Reptilia	SD0423201	Reptiles
Oral swab	Animal	< 1 minute	< 28 days	AFV50	NA	90	26	SD02060	Cricetidae	Peromyscus maniculatus	1000215 - Temperate shrubland	NA	Adult	Male	48.63	-123.29	recqcwTGBWEwznXMJ	Rodentia	Mammalia	SD0206001	Mammals
Oral swab	Animal	< 1 minute	< 3 days	NSAP60	Donostia	NA	240	SD01167	Strigidae	Strix aluco	1000197 - Broadleaf forest	NA	Juvenile	Unknown	43.3	-2.03	recIUTmSxiyqoU5lQ	Strigiformes	Aves	SD0116701	Birds
Tissue	Animal	< 1 minute	< 3 days	ADJ83	Tourmalet	140.08	2.62	SD00890	Lacertidae	Iberolacerta bonnali	1000194 - Montane grassland	NA	Adult	Male	42.92	0.14	recD0072mQhXdzBoy	Squamata	Reptilia	SD0089001	Reptiles
Skin swab	Animal	< 1 minute	< 1 day	ACZ24	NA	40.7	7.8	SD01187	Vespertilionidae	Plecotus auritus	1000197 - Broadleaf forest	villiage in the forest	Adult	Male	52.7	23.85	recS6xIyDhfgVgMQw	Chiroptera	Mammalia	SD0118701	Bats
Tissue	Animal	NA	NA	AIG08	4.1 mi N of Brooker	NA	NA	SD02950	Cathartidae	Cathartes aura	NA	NA	Adult	Male	29.95	-82.32	recTM9xQvYOxMLTyY	Accipitriformes	Aves	SD0295001	Birds
Oral swab	Animal	< 1 minute	< 14 days	AFW39	NA	NA	17.5	SD02094	Cricetidae	Peromyscus maniculatus	1000215 - Temperate shrubland	NA	Juvenile	Male	48.63	-123.29	recqcwTGBWEwznXMJ	Rodentia	Mammalia	SD0209401	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ADW21	ILO	58	615	SD01760	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Male	45.02	7.67	recrACkHppgdXdQse	Rodentia	Mammalia	SD0176001	Mammals
Tissue	Animal	< 1 minute	< 1 day	AEU23	ILO	60	580	SD01759	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Female	45.02	7.67	recrACkHppgdXdQse	Rodentia	Mammalia	SD0175902	Mammals
Faecal	Animal	< 1 minute	< 1 day	AFT64	NA	58.3	22.2	SD03889	Vespertilionidae	Myotis myotis	1001805 - Temperate forest	At the cave entrance	Juvenile	Male	41.89	24.88	recIKcYqw1CyfqxgE	Chiroptera	Mammalia	SD0388901	Bats
Faecal	Housing	< 6 hours	< 7 days	AFI27	NA	32.3	2.1	SD03969	Hylidae	Ptychohyla hypomykter	1000197 - Broadleaf forest	In front of a stream	Adult	Unknown	15.2	-87.59	recQgqRtcmwo7Cea8	Anura	Amphibia	SD0396901	Amphibians
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAA05	Cancano	56.5	290	SD00353	Sciuridae	Sciurus vulgaris	1000196 - Coniferous forest	Pinus mugo	Adult	Male	46.56	10.25	recrACkHppgdXdQse	Rodentia	Mammalia	SD0035301	Mammals
Tissue	Animal	< 10 minutes	< 1 day	ABW53	NA	390	373	SD02671	Sciuridae	Sciurus vulgaris	1000197 - Broadleaf forest	rural forest, many oaks, single conifers	Adult	Male	52.45	13.7	recVYUv3aeAtg7Vdd	Rodentia	Mammalia	SD0267101	Mammals
Colon mucosa	Animal	NA	NA	AII27	7.8 mi N of Alice	NA	NA	SD02969	Cathartidae	Coragyps atratus	NA	NA	Adult	Female	27.86	-98.05	recTM9xQvYOxMLTyY	Accipitriformes	Aves	SD0296901	Birds
Tissue	Animal	< 1 minute	< 1 day	AHU48	NA	148	4.2	SD03531	Lacertidae	Podarcis sp.	1000199 - Mediterranean forest	NA	Adult	Female	40.88	-8.27	recAf61NgigHFbcBU	Squamata	Reptilia	SD0353101	Reptiles
Faecal	Animal	< 30 minutes	< 14 days	AAI16	Cova de Rialb	57.6	NA	SD00003	Vespertilionidae	Myotis blythii	1000221 - Temperate woodland	Cave	Adult	Male	42.34	2.17	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0000301	Bats
Oral swab	Animal	< 1 minute	< 1 day	AFP62	NA	45.5	17	SD02626	Lamprophiidae	Malpolon monspessulanus	1000199 - Mediterranean forest	NA	Juvenile	Unknown	40.92	-7.1	recAf61NgigHFbcBU	Squamata	Reptilia	SD0262601	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ADU79	Gallarate	56	330	SD00326	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	parklike habitat	Nursing	Female	45.66	8.78	recrACkHppgdXdQse	Rodentia	Mammalia	SD0032602	Mammals
Faecal	Trap	< 6 hours	< 7 days	AGN41	NA	NA	NA	SD04555	Muridae	Rattus rattus	1000221 - Temperate woodland	(NAD) Acacia dealbata forest	Unknown	Unknown	-41.08	145.6	recKtBknH3LqSreF0	Rodentia	Mammalia	SD0455501	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAM68	NA	56	647	SD01587	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	City Park	Adult	Male	41.25	-75.89	recTM9xQvYOxMLTyY	Rodentia	Mammalia	SD0158701	Mammals
Faecal	Animal	< 1 minute	< 1 day	ADM72	Tourmalet	141.87	3.14	SD00842	Lacertidae	Iberolacerta bonnali	1000194 - Montane grassland	rocks along montane road	Adult	Male	42.92	0.14	recD0072mQhXdzBoy	Squamata	Reptilia	SD0084201	Reptiles
Faecal	Animal	< 1 minute	< 21 days	ABL07	NA	58	4.6	SD00548	Lacertidae	Podarcis muralis	1000221 - Temperate woodland	Shrubs and rocks near river	Pregnant	Female	42.6	0.76	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0054801	Reptiles
Blood	Animal	< 1 minute	< 1 day	AAY72	Montpellier	16	10.5	SD00072	Paridae	Cyanistes caeruleus	1000248 - Dense settlement	Field experiments on CNRS campus, north of the city of Montpellier	Adult	Female	43.64	3.86	recD0072mQhXdzBoy	Passeriformes	Aves	SD0007201	Birds
Faecal	Trap	< 3 hours	< 1 day	ACG64	commande	62	600	SD01689	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Male	44.84	7.77	recrACkHppgdXdQse	Rodentia	Mammalia	SD0168901	Mammals
Tissue	Animal	< 10 minutes	< 1 day	ABX61	NA	400	372.3	SD02711	Sciuridae	Sciurus vulgaris	1000197 - Broadleaf forest	Urban cemetery with lawns, bushes, deciduous and coniferous trees, partly standing together in groups	Adult	Female	52.49	13.41	recVYUv3aeAtg7Vdd	Rodentia	Mammalia	SD0271101	Mammals
Faecal	Trap	< 3 hours	< 1 day	AAU96	Piobesi	NA	560	SD00367	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	oak-hornbeam forest	Adult	Female	44.94	7.59	recrACkHppgdXdQse	Rodentia	Mammalia	SD0036702	Mammals
Tissue	Animal	< 1 minute	< 1 day	AHW08	NA	202	10.3	SD03593	Lacertidae	Timon lepidus	1000199 - Mediterranean forest	NA	Juvenile	Unknown	40.88	-8.27	recAf61NgigHFbcBU	Squamata	Reptilia	SD0359301	Reptiles
Tissue	Animal	< 1 minute	< 14 days	AHA59	NA	56	3.96	SD04250	Lacertidae	Podarcis cretensis	1000215 - Temperate shrubland	islet (peninsula)	Adult	Male	35.27	23.52	rec8ZSYhXQpuQrkxi	Squamata	Reptilia	SD0425001	Reptiles
Tissue	Animal	NA	NA	AEY18	NA	60	5.59	SD02360	Lacertidae	Podarcis gaigeae	1000218 - Xeric shrubland	NA	NA	Male	38.81	24.57	rec8ZSYhXQpuQrkxi	Squamata	Reptilia	SD0236001	Reptiles
Anal/cloacal swab	Animal	< 1 minute	NA	ABS68	NA	60	130	SD01522	Sciuridae	Sciurus vulgaris	1000197 - Broadleaf forest	Broadleaf forest 	Juvenile	Male	42.87	143.19	recUFOFTQQCc0Urlo	Rodentia	Mammalia	SD0152201	Mammals
Tissue	Animal	< 1 minute	< 1 day	AAV64	AddaNord	NA	NA	SD00444	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Unknown	Male	45.57	9.53	recrACkHppgdXdQse	Rodentia	Mammalia	SD0044402	Mammals
Faecal	Animal	< 1 minute	< 14 days	ABK63	NA	54	3.2	SD00639	Lacertidae	Podarcis muralis	1000221 - Temperate woodland	Rocky outcrops in forest and stone-walls	Unknown	Female	42.71	-0.61	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0063901	Reptiles
Tissue	Animal	< 1 minute	< 1 day	ABB63	AddaNord	62	500	SD00470	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	riparian woodland	Nursing	Female	45.56	9.53	recrACkHppgdXdQse	Rodentia	Mammalia	SD0047001	Mammals
Tissue	Animal	< 1 minute	< 14 days	ADD38	NA	38.6	7.28	SD02175	Vespertilionidae	Barbastella barbastellus	1000198 - Mixed forest	Mine roost monitoring	Adult	Male	41.81	2.41	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0217501	Bats
Faecal	Animal	< 1 minute	< 1 day	AGZ30	NA	NA	61.4	SD03208	Corvidae	Perisoreus infaustus	1000250 - Boreal forests or taiga	Forest	Juvenile	Unknown	65.8	19.09	recsoxFuQT1UqV2yf	Passeriformes	Aves	SD0320801	Birds
Tissue	Animal	< 1 minute	< 21 days	ABJ76	NA	64	6.7	SD00603	Lacertidae	Podarcis muralis	1000221 - Temperate woodland	Boulders and stone-walls	Unknown	Male	42.63	0.76	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0060301	Reptiles
Jejunum mucosa	Animal	NA	NA	AIG58	4.1 mi N of Brooker	NA	NA	SD02954	Cathartidae	Cathartes aura	NA	NA	Adult	Male	29.95	-82.32	recTM9xQvYOxMLTyY	Accipitriformes	Aves	SD0295401	Birds
Tissue	Animal	< 1 minute	< 1 day	AAA19	Valfurva	NA	320	SD00350	Sciuridae	Sciurus vulgaris	1000196 - Coniferous forest	Pinus cembra; Picea Abies; Larix decidua	Adult	Male	46.43	10.45	recrACkHppgdXdQse	Rodentia	Mammalia	SD0035001	Mammals
Oral swab	Animal	< 1 minute	< 3 days	NSAP11	Donostia	NA	NA	SD01151	Strigidae	Strix aluco	1000197 - Broadleaf forest	NA	Adult	Male	43.31	-2	recIUTmSxiyqoU5lQ	Strigiformes	Aves	SD0115101	Birds
Blood	Animal	< 1 minute	< 1 day	AAY95	Montpellier	71.5	17.8	SD00095	Sylviidae	Sylvia atricapilla	1000248 - Dense settlement	Field experiments on CNRS campus, north of the city of Montpellier	Adult	Female	43.64	3.86	recD0072mQhXdzBoy	Passeriformes	Aves	SD0009501	Birds
Faecal	Animal	< 1 minute	< 1 day	ACJ57	NA	39.6	7	SD01904	Vespertilionidae	Plecotus auritus	1000198 - Mixed forest	At the cave entrance	Adult	Male	41.65	24.53	recIKcYqw1CyfqxgE	Chiroptera	Mammalia	SD0190401	Bats
Anal/cloacal swab	Animal	< 1 minute	< 3 days	NSAP21	Donostia	NA	220	SD01155	Strigidae	Strix aluco	1000197 - Broadleaf forest	NA	Juvenile	Unknown	43.31	-2.01	recIUTmSxiyqoU5lQ	Strigiformes	Aves	SD0115501	Birds
Faecal	NA	NA	NA	ABP89	NA	59	4.79	SD02365	Lacertidae	Podarcis gaigeae	1000218 - Xeric shrubland	NA	NA	Female	38.81	24.57	rec8ZSYhXQpuQrkxi	Squamata	Reptilia	SD0236501	Reptiles
Tissue	Animal	< 1 minute	< 1 day	AFQ90	NA	12.7	1.5	SD02591	Lacertidae	Podarcis sp.	1000199 - Mediterranean forest	NA	Sub-adult	Male	40.86	-8.25	recAf61NgigHFbcBU	Squamata	Reptilia	SD0259101	Reptiles
Tissue	Animal	< 1 minute	< 21 days	AHO51	NA	44.4	7.5	SD03332	Bombinatoridae	Bombina sp.	1000198 - Mixed forest	Tire track	Adult	Female	47.95	19.93	recswsHtDSgulNghS	Anura	Amphibia	SD0333201	Amphibians
Faecal	Animal	< 1 minute	< 21 days	ABL86	NA	53	3.97	SD00519	Lacertidae	Podarcis muralis	1000221 - Temperate woodland	Village	Adult	Male	42.48	0.71	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0051901	Reptiles
Skin swab	Animal	< 1 minute	< 1 day	AIZ40	NA	85	15.3	SD04452	Salamandridae	Salamandra salamandra gallaica	1000221 - Temperate woodland	Stone wall around a eucalyptus patch in rural town.	Adult	Male	41.33	-8.67	recAf61NgigHFbcBU	Urodela	Amphibia	SD0445201	Amphibians
Faecal	Housing	< 6 hours	< 1 day	ABD38	NA	48.8	2.82	SD01462	Salamandridae	Lissotriton vulgaris	1000247 - Rangeland	pond on woodland	Adult	Male	43.89	18.36	recPWJe1moDn1iat5	Urodela	Amphibia	SD0146201	Amphibians
Faecal	Housing	NA	< 3 days	AIQ76	NA	NA	NA	SD04201	Leporidae	Lepus europaeus	1000247 - Rangeland	NA	Juvenile	Unknown	42.9	-2.16	recIUTmSxiyqoU5lQ	Lagomorpha	Mammalia	SD0420102	Mammals
Faecal	Trap	< 3 hours	< 7 days	AEV25	NA	57	350	SD03386	Sciuridae	Sciurus vulgaris	1000196 - Coniferous forest	Picea-Pinus wild	Adult	Male	47.77	106.97	recugcwL74IMJVJls	Rodentia	Mammalia	SD0338601	Mammals
Tissue	Animal	< 1 minute	< 1 day	ABA20	Pineta	57.5	325	SD00319	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	mixed conifer-deciduous wood	Adult	Male	45.76	8.9	recrACkHppgdXdQse	Rodentia	Mammalia	SD0031901	Mammals
Faecal	Trap	< 3 hours	< 1 day	ACG25	Varese	57.5	330	SD01690	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	parklike habitat	Adult	Male	45.83	8.8	recrACkHppgdXdQse	Rodentia	Mammalia	SD0169001	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAC46	Ladera sur	170	235	SD00284	Falconidae	Falco eleonorae	1000048 - Ocean	Island	Juvenile	Unknown	29.39	-13.53	recIUTmSxiyqoU5lQ	Falconiformes	Aves	SD0028401	Birds
Tissue	Animal	< 10 minutes	< 1 day	ABX08	NA	384	384	SD02687	Sciuridae	Sciurus vulgaris	1000197 - Broadleaf forest	rural forest, many oaks, single conifers	Adult	Male	52.45	13.7	recVYUv3aeAtg7Vdd	Rodentia	Mammalia	SD0268701	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ACD07	NA	86	29.2	SD01946	Thraupidae	Paroaria gularis	1000252 - Lake or pond	Oxbow lake	Adult	Unknown	-12.6	-70.07	recBG9JQuOqHyhhMQ	Passeriformes	Aves	SD0194601	Birds
Faecal	Trap	< 6 hours	< 7 days	AGN58	NA	NA	NA	SD04670	Phalangeridae	Trichosurus vulpecula	1000221 - Temperate woodland	(RMS) Nothofagus - Phyllocladus short rainforest	Unknown	Unknown	-41.03	145.4	recKtBknH3LqSreF0	Diprotodontia	Mammalia	SD0467001	Mammals
Tissue	Animal	< 1 minute	< 1 day	AFL69	NA	49	2.44	SD04393	Lacertidae	Podarcis liolepis	1000218 - Xeric shrubland	Mediterranean shrub forests between urban settlements	Adult	Male	39.52	-0.43	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0439301	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ADV32	Golasecca	58	360	SD01703	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	oak-hornbeam-chestnut forest	Adult	Male	45.69	8.66	recrACkHppgdXdQse	Rodentia	Mammalia	SD0170302	Mammals
Oral swab	Animal	< 1 minute	< 14 days	AAH91	Bòfia de Sant Jaume	38.4	6.1	SD00014	Rhinolophidae	Rhinolophus hipposideros	1000221 - Temperate woodland	Cave	Adult	Female	42.07	1.68	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0001401	Bats
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AEL58	Torino	63	600	SD01785	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Male	45.06	7.69	recrACkHppgdXdQse	Rodentia	Mammalia	SD0178501	Mammals
Tissue	Animal	< 1 minute	< 1 day	ACG92	Varese	57	370	SD01707	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	parklike habitat	Adult	Male	45.83	8.8	recrACkHppgdXdQse	Rodentia	Mammalia	SD0170701	Mammals
Faecal	Housing	< 30 minutes	< 7 days	AEY35	NA	22.9	25.5	SD03956	Passerellidae	Chlorospingus flavopectus	1000197 - Broadleaf forest	In front of a forest patch	Adult	Female	14.61	-88.11	recQgqRtcmwo7Cea8	Passeriformes	Aves	SD0395601	Birds
Tissue	Animal	< 1 minute	< 21 days	AFN89	NA	47	8.3	SD02012	Rhinolophidae	Rhinolophus alcyone	1001803 - Tropical forest	Cave, forest, swamp	Juvenile	Male	1.11	11.26	reclcQpXVk25OgN5p	Chiroptera	Mammalia	SD0201201	Bats
Faecal	Animal	< 1 minute	< 1 day	ADK30	Tourmalet	164.1	3.86	SD00869	Lacertidae	Podarcis muralis	1000194 - Montane grassland	NA	Adult	Male	42.93	0.2	recD0072mQhXdzBoy	Squamata	Reptilia	SD0086901	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ACH60	SaronnoScuolaElementare	49.2	14.3	SD01716	Vespertilionidae	Eptesicus serotinus	1000221 - Temperate woodland	parklike habitat	Sub-adult	Male	45.62	9.04	recrACkHppgdXdQse	Chiroptera	Mammalia	SD0171601	Bats
Oral swab	Animal	< 1 minute	< 1 day	ADM15	Sentein	162.66	4.47	SD00796	Lacertidae	Podarcis muralis	1000194 - Montane grassland	NA	Adult	Female	42.83	0.9	recD0072mQhXdzBoy	Squamata	Reptilia	SD0079601	Reptiles
Tissue	Animal	< 1 minute	< 1 day	ACG76	commande	62	530	SD01687	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Male	44.84	7.77	recrACkHppgdXdQse	Rodentia	Mammalia	SD0168701	Mammals
Tissue	Animal	< 1 minute	< 1 day	AHV92	NA	142	4.3	SD03586	Lacertidae	Podarcis sp.	1000199 - Mediterranean forest	NA	Adult	Female	40.88	-8.27	recAf61NgigHFbcBU	Squamata	Reptilia	SD0358601	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAP57	NA	NA	1.92	SD03467	Salamandridae	Lissotriton helveticus	1000252 - Lake or pond	NA	Adult	Male	43.28	-2.12	recIUTmSxiyqoU5lQ	Urodela	Amphibia	SD0346701	Amphibians
Tissue	Animal	< 1 minute	< 14 days	ACC02	NA	42.2	8.8	SD00474	Vespertilionidae	Plecotus auritus	1000221 - Temperate woodland	Grassland in Pine Forest, Botton Valley	Adult	Male	40.38	-1.89	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0047401	Bats
Tissue	Animal	NA	NA	AEY10	NA	66	6.8	SD02347	Lacertidae	Podarcis filfolensis	1000218 - Xeric shrubland	NA	NA	Male	36.01	14.32	rec4pSrz639KdTCof	Squamata	Reptilia	SD0234701	Reptiles
Faecal	Animal	< 1 minute	< 1 day	AHV01	NA	130	3.2	SD03557	Lacertidae	Podarcis sp.	1000199 - Mediterranean forest	NA	Adult	Male	40.87	-8.27	recAf61NgigHFbcBU	Squamata	Reptilia	SD0355701	Reptiles
Faecal	Trap	< 6 hours	< 7 days	AGN63	NA	11.56	9	SD04611	Muridae	Mus musculus	1000221 - Temperate woodland	(NAD) Acacia dealbata forest	Adult	Male	-41.08	145.6	recKtBknH3LqSreF0	Rodentia	Mammalia	SD0461101	Mammals
Faecal	Animal	< 1 minute	< 1 day	ADX04	NA	67.57	6.47	SD01212	Lacertidae	Podarcis muralis	1000248 - Dense settlement	On old stone wall along sidewalk and busy road	Adult	Female	39.1	-84.56	recTM9xQvYOxMLTyY	Squamata	Reptilia	SD0121201	Reptiles
Faecal	Animal	< 1 minute	< 1 day	AFL49	NA	50	2.78	SD04397	Lacertidae	Podarcis liolepis	1000221 - Temperate woodland	Stone walls and ground crevices around mediterranean forest and private houses	Adult	Male	39.13	-0.37	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0439701	Reptiles
Faecal	Animal	< 10 minutes	< 3 days	OPAU44	NA	NA	NA	SD00730	Vespertilionidae	Plecotus auritus	1000221 - Temperate woodland	Woodland	Adult	Female	51.04	-0.61	recWNrlBagsRxnwjj	Chiroptera	Mammalia	SD0073001	Bats
Faecal	Trap	< 3 hours	< 1 day	ABC33	Gallarate	57	300	SD00318	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	parklike habitat	Adult	Male	45.66	8.78	recrACkHppgdXdQse	Rodentia	Mammalia	SD0031801	Mammals
Faecal	Housing	< 10 minutes	< 1 day	AGI87	NA	NA	NA	SD03691	Thraupidae	Geospizopsis unicolor	1000216 - Montane shrubland	Polylepis, woodland, paramo	Adult	Unknown	-2.96	-79.27	recObZmxBDlCLf6We	Passeriformes	Aves	SD0369101	Birds
Faecal	Trap	< 6 hours	< 7 days	AGN19	NA	43.6	3300	SD04619	Phalangeridae	Trichosurus vulpecula	1000221 - Temperate woodland	(NAD) Acacia dealbata forest	Adult	Male	-41.08	145.6	recKtBknH3LqSreF0	Diprotodontia	Mammalia	SD0461901	Mammals
Faecal	Animal	< 1 minute	< 14 days	AHH99	NA	72	7.78	SD04363	Lacertidae	Podarcis muralis	1000215 - Temperate shrubland	town	Adult	Male	41.73	12.67	recrACkHppgdXdQse	Squamata	Reptilia	SD0436301	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAS56	Donostia	NA	80	SD01085	Laridae	Larus michahellis	1000215 - Temperate shrubland	Hill	Juvenile	Unknown	43.34	-1.96	recIUTmSxiyqoU5lQ	Charadriiformes	Aves	SD0108501	Birds
Tissue	Animal	< 1 minute	< 1 day	AAZ40	Calusco	60	305	SD00466	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	riparian woodland	Pregnant	Female	45.68	9.46	recrACkHppgdXdQse	Rodentia	Mammalia	SD0046601	Mammals
Faecal	Housing	< 30 minutes	< 7 days	AEY75	NA	25.8	26.9	SD03927	Passerellidae	Chlorospingus flavopectus	1000197 - Broadleaf forest	In front of a forest patch	Adult	Unknown	15.52	-88.11	recQgqRtcmwo7Cea8	Passeriformes	Aves	SD0392701	Birds
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAY39	Montpellier	14	15.5	SD00120	Fringillidae	Carduelis carduelis	1000248 - Dense settlement	Field experiments on CNRS campus, north of the city of Montpellier	Adult	Female	43.64	3.86	recD0072mQhXdzBoy	Passeriformes	Aves	SD0012001	Birds
Faecal	NA	NA	NA	AEX86	NA	52	3.28	SD02337	Lacertidae	Podarcis filfolensis	1000218 - Xeric shrubland	NA	NA	Male	36.02	14.33	rec4pSrz639KdTCof	Squamata	Reptilia	SD0233701	Reptiles
Tissue	Animal	NA	NA	AII30	7.8 mi N of Alice	NA	NA	SD02970	Cathartidae	Coragyps atratus	NA	NA	Adult	Female	27.86	-98.05	recTM9xQvYOxMLTyY	Accipitriformes	Aves	SD0297001	Birds
Anal/cloacal swab	Animal	< 1 minute	< 7 days	AEV07	NA	55	330	SD03367	Sciuridae	Sciurus vulgaris	1000196 - Coniferous forest	Picea-Pinus human disturbed	Adult	Male	47.77	107	recugcwL74IMJVJls	Rodentia	Mammalia	SD0336701	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAD02	Norte	176	270	SD00209	Falconidae	Falco eleonorae	1000048 - Ocean	Island	Juvenile	Unknown	29.4	-13.53	recIUTmSxiyqoU5lQ	Falconiformes	Aves	SD0020901	Birds
Faecal	Animal	< 1 minute	< 1 day	ADK20	Tourmalet	175.23	5.49	SD00872	Lacertidae	Podarcis muralis	1000194 - Montane grassland	NA	Adult	Male	42.93	0.2	recD0072mQhXdzBoy	Squamata	Reptilia	SD0087201	Reptiles
Tissue	Animal	< 1 minute	< 21 days	AHN84	NA	39.34	5.3	SD03301	Bombinatoridae	Bombina sp.	1000198 - Mixed forest	Side ditch road	Adult	Male	47.89	19.99	recswsHtDSgulNghS	Anura	Amphibia	SD0330101	Amphibians
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAT41	Donostia	NA	660	SD01106	Laridae	Larus michahellis	1000215 - Temperate shrubland	Hill	Juvenile	Unknown	43.32	-2	recIUTmSxiyqoU5lQ	Charadriiformes	Aves	SD0110601	Birds
Skin swab: ventral	Animal	< 1 minute	< 1 day	AKE21	NA	66	4.8	SD03832	Salamandridae	Calotriton asper	1000253 - River or stream	NA	Adult	Male	43	-1.17	recIUTmSxiyqoU5lQ	Urodela	Amphibia	SD0383201	Amphibians
Tissue	Animal	NA	NA	AEX60	NA	55	4.15	SD02329	Lacertidae	Podarcis filfolensis	1000248 - Dense settlement	NA	NA	Female	36.05	14.27	rec4pSrz639KdTCof	Squamata	Reptilia	SD0232901	Reptiles
Faecal	Animal	< 1 minute	< 1 day	ACQ90	NA	NA	16	SD00139	Cricetidae	Myodes glareolus	1000250 - Boreal forests	Mosaic of semi-natural forest, plantations, felled areas and heath	Juvenile	Male	57.19	-3.68	recWNrlBagsRxnwjj	Rodentia	Mammalia	SD0013901	Mammals
Tissue	Animal	< 1 minute	< 21 days	AHO37	NA	35.34	5.1	SD03349	Bombinatoridae	Bombina sp.	1000198 - Mixed forest	Tire track	Adult	Male	47.94	19.94	recswsHtDSgulNghS	Anura	Amphibia	SD0334901	Amphibians
Anal/cloacal swab	Animal	< 1 minute	< 7 days	AEU93	NA	482	3780	SD03370	Sciuridae	Marmota sibirica	1000194 - Montane grassland	Herbs-shrubs	Adult	Female	47.73	107.04	recugcwL74IMJVJls	Rodentia	Mammalia	SD0337001	Mammals
Tissue	Animal	< 1 minute	< 14 days	AHA38	NA	63	5.41	SD04244	Lacertidae	Podarcis cretensis	1000215 - Temperate shrubland	abandonned village	Adult	Male	35.24	24.12	rec8ZSYhXQpuQrkxi	Squamata	Reptilia	SD0424401	Reptiles
