sample_type	sample_origin	sample_freshness	sample_freezing	sample_id	capture_place	specimen_length	specimen_weight	specimen_id	specimen_family	specimen_species	capture_biome	capture_environment	specimen_development	specimen_sex	capture_latitude	capture_longitude	capture_country	specimen_order	specimen_class	capture_id	tax_group
Faecal	Animal	< 1 minute	< 1 day	AHU46	NA	134	3.5	SD03530	Lacertidae	Podarcis sp.	1000199 - Mediterranean forest	NA	Adult	Male	40.88	-8.27	recAf61NgigHFbcBU	Squamata	Reptilia	SD0353001	Reptiles
Faecal	Animal	< 1 minute	< 1 day	ACK32	NA	46.4	10.7	SD03064	Miniopteridae	Miniopterus schreibersii	1000245 - Cropland	At the cave entrance	Adult	Female	43.23	24.89	recIKcYqw1CyfqxgE	Chiroptera	Mammalia	SD0306401	Bats
Duodenum mucosa	Animal	NA	NA	AII78	7.8 mi N of Alice	NA	NA	SD02974	Cathartidae	Coragyps atratus	NA	NA	Adult	Female	27.86	-98.05	recTM9xQvYOxMLTyY	Accipitriformes	Aves	SD0297401	Birds
Faecal	Animal	< 1 minute	< 1 day	ADM65	Tourmalet	102.35	2.18	SD00807	Lacertidae	Iberolacerta bonnali	1000194 - Montane grassland	rocks along montane road	Adult	Female	42.92	0.14	recD0072mQhXdzBoy	Squamata	Reptilia	SD0080701	Reptiles
Anal/cloacal swab	Animal	< 10 minutes	< 1 day	ABW62	NA	423	358	SD02680	Sciuridae	Sciurus vulgaris	1000197 - Broadleaf forest	urban park with lawns and several broadleaf trees, partly standing together in groups, small woods	Adult	Female	52.49	13.47	recVYUv3aeAtg7Vdd	Rodentia	Mammalia	SD0268001	Mammals
Tissue	Animal	< 1 minute	< 3 days	ADI18	NA	149.07	4.23	SD00944	Lacertidae	Podarcis muralis	1000246 - Village	cemetery	Adult	Male	42.91	-0.57	recD0072mQhXdzBoy	Squamata	Reptilia	SD0094401	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ADV23	GrottaMarelli	40	6.2	SD01727	Vespertilionidae	Myotis crypticus	1000221 - Temperate woodland	mixed conifer-deciduous wood	Adult	Female	45.86	8.78	recrACkHppgdXdQse	Chiroptera	Mammalia	SD0172701	Bats
Tissue	Animal	< 1 minute	< 14 days	AHB42	NA	55	4.39	SD04295	Lacertidae	Podarcis cretensis	1000215 - Temperate shrubland	islet	Adult	Male	35.44	25.19	rec8ZSYhXQpuQrkxi	Squamata	Reptilia	SD0429501	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAL92	NA	63	347	SD01574	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	City Park	Juvenile	Female	41.25	-75.89	recTM9xQvYOxMLTyY	Rodentia	Mammalia	SD0157401	Mammals
Faecal	Animal	< 10 minutes	< 1 day	ACZ85	NA	37.93	8.6	SD01180	Vespertilionidae	Plecotus auritus	1000199 - Mediterranean forest	forest road	Adult	Female	53.29	23.39	recS6xIyDhfgVgMQw	Chiroptera	Mammalia	SD0118001	Bats
Faecal	NA	NA	NA	AEV70	NA	71	8.61	SD02287	Lacertidae	Podarcis muralis	1000248 - Dense settlement	NA	NA	Unknown	41.73	12.67	recrACkHppgdXdQse	Squamata	Reptilia	SD0228701	Reptiles
Tissue	Animal	< 1 minute	< 14 days	ACC07	NA	42.1	10.1	SD00479	Vespertilionidae	Plecotus auritus	1000221 - Temperate woodland	Mix Pine Oak Forest	Nursing	Female	40.62	-2.13	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0047901	Bats
Faecal	Trap	< 3 hours	< 7 days	AEV13	NA	57	380	SD03380	Sciuridae	Sciurus vulgaris	1000196 - Coniferous forest	Picea-Pinus wild	Adult	Male	47.77	106.97	recugcwL74IMJVJls	Rodentia	Mammalia	SD0338001	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ACE44	NA	81	28.2	SD01954	Thraupidae	Paroaria gularis	1000252 - Lake or pond	Oxbow lake	Juvenile	Unknown	-12.43	-70.68	recBG9JQuOqHyhhMQ	Passeriformes	Aves	SD0195401	Birds
Oral swab	Animal	< 1 minute	< 14 days	AFW72	NA	87.7	26.5	SD02111	Cricetidae	Peromyscus maniculatus	1000215 - Temperate shrubland	NA	Adult	Female	48.63	-123.29	recqcwTGBWEwznXMJ	Rodentia	Mammalia	SD0211101	Mammals
Faecal	NA	NA	NA	AEV93	NA	60	5.1	SD02308	Lacertidae	Podarcis filfolensis	1000248 - Dense settlement	NA	NA	Male	35.97	14.35	rec4pSrz639KdTCof	Squamata	Reptilia	SD0230801	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAV92	Torino	62	635	SD00317	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Pregnant	Female	45.06	7.69	recrACkHppgdXdQse	Rodentia	Mammalia	SD0031702	Mammals
