"library_id","library_batch","sample_id","extraction_id","sequencing_datasets","library_input_volume","library_input_dna","library_input_dna_concentration","library_adaptor_molarity","library_PCR_cycles_required"
"AAS22E1L1","LIB0009","AAS22","AAS22E1","EHI00023",27,14,0.52,10,11
"AAS36E1L1","LIB0009","AAS36","AAS36E1","EHI00008",27,20.6,0.76,10,14
"AAS21E1L1","LIB0009","AAS21","AAS21E1","",27,0,0,10,10
"AAS31E1L1","LIB0009","AAS31","AAS31E1","EHI00021",27,2,0.07,10,10
"AAS32E1L1","LIB0009","AAS32","AAS32E1","EHI00018",27,40,1.48,10,10
"AAS35E1L1","LIB0009","AAS35","AAS35E1","EHI00007",27,223,8.26,20,8
"AAS38E1L1","LIB0009","AAS38","AAS38E1","EHI00024",27,3.5,0.13,10,17
"AAS04E1L1","LIB0009","AAS04","AAS04E1","EHI00031",27,20.2,0.75,10,14
"AAS44E2L1","LIB0009","AAS44","AAS44E2","",27,14.3,0.53,10,12
"AAT44E1L1","LIB0009","AAT44","AAT44E1","",27,62.6,2.32,20,11
"AAT42E1L1","LIB0009","AAT42","AAT42E1","",27,2.3,0.08,10,16
"C5_EXB0004E1L1","LIB0009","C5_EXB0004","C5_EXB0004E1","",27,0,0,10,22
"AAS11E1L1","LIB0009","AAS11","AAS11E1","EHI00033",27,6.6,0.24,10,17
"AAS08E1L1","LIB0009","AAS08","AAS08E1","EHI00029",27,209.8,7.77,20,11
"AAS07E1L1","LIB0009","AAS07","AAS07E1","EHI00039",27,160.1,5.93,20,10
"AAT52E2L1","LIB0009","AAT52","AAT52E2","",27,0,0,10,23
"AAT21E1L1","LIB0009","AAT21","AAT21E1","",27,12.2,0.45,10,12
"AAT48E2L1","LIB0009","AAT48","AAT48E2","",27,26.8,0.99,10,12
"AAS12E1L1","LIB0009","AAS12","AAS12E1","EHI00030",27,99.1,3.67,20,12
"AAT06E1L1","LIB0009","AAT06","AAT06E1","",27,1.5,0.06,10,18
"AAT04E1L1","LIB0009","AAT04","AAT04E1","",27,15.4,0.57,10,14
"AAT31E1L1","LIB0009","AAT31","AAT31E1","",27,315.9,11.7,10,9
"AAT25E1L1","LIB0009","AAT25","AAT25E1","",27,17,0.63,10,13
"AAT50E2L1","LIB0009","AAT50","AAT50E2","",27,19.9,0.74,10,12
"AAS46E2L1","LIB0009","AAS46","AAS46E2","",27,73.4,2.72,10,10
"NSAP20E1L1","LIB0009","NSAP20","NSAP20E1","EHI00036",27,7.9,0.29,10,15
"C4_EXB0004E2L1","LIB0009","C4_EXB0004","C4_EXB0004E2","",27,0,0,10,22
"AAS54E2L1","LIB0009","AAS54","AAS54E2","",27,0,0,10,23
"NSAP35E1L1","LIB0009","NSAP35","NSAP35E1","EHI00028",27,15.3,0.56,10,15
"NSAP42E1L1","LIB0009","NSAP42","NSAP42E1","EHI00037",27,9.8,0.36,10,13
"AAT58E2L1","LIB0009","AAT58","AAT58E2","",27,44.6,1.65,10,10
"NSAP19E1L1","LIB0009","NSAP19","NSAP19E1","EHI00044",27,7.8,0.29,10,18
"AAT08E1L1","LIB0009","AAT08","AAT08E1","",27,116.1,4.3,10,8
"NSAP21E1L1","LIB0009","NSAP21","NSAP21E1","EHI00027",27,8.4,0.31,10,16
"AAS10E1L1","LIB0009","AAS10","AAS10E1","EHI00026",27,46.4,1.72,10,11
"AAT55E2L1","LIB0009","AAT55","AAT55E2","",27,364.5,13.5,10,8
